transition_id,tier,selection_role,snr_rung,arm,criterion,realization,label,measurement,measurement_available,invalid_reason
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,faint_only,GREEN2022_FINAL,6,CL,3.697112563140687,True,Green catalogue note uses N_sigma(Hbeta) >= 3
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,matched,YANG2024_FINAL,6,unclassifiable,,False,invalid Yang Hbeta fit: ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,matched,GREEN2022_FINAL,6,non-CL,1.6809073416347302,True,Green catalogue note uses N_sigma(Hbeta) >= 3
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,faint_only,YANG2024_FINAL,7,unclassifiable,,False,invalid Yang Hbeta fit: ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,faint_only,GREEN2022_FINAL,7,CL,3.0784670050223477,True,Green catalogue note uses N_sigma(Hbeta) >= 3
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,matched,YANG2024_FINAL,7,non-CL,0.6458685056489538,True,finite fitted faint-state broad Hbeta
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,matched,GREEN2022_FINAL,7,non-CL,0.910505325617522,True,Green catalogue note uses N_sigma(Hbeta) >= 3
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,faint_only,YANG2024_FINAL,8,unclassifiable,,False,invalid Yang Hbeta fit: ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND|ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,faint_only,GREEN2022_FINAL,8,CL,4.31230273166982,True,Green catalogue note uses N_sigma(Hbeta) >= 3
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,matched,YANG2024_FINAL,8,unclassifiable,,False,invalid Yang Hbeta fit: ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,matched,GREEN2022_FINAL,8,non-CL,2.058165518782724,True,Green catalogue note uses N_sigma(Hbeta) >= 3
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,faint_only,YANG2024_FINAL,9,unclassifiable,,False,invalid Yang Hbeta fit: ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,faint_only,GREEN2022_FINAL,9,CL,3.152551544881949,True,Green catalogue note uses N_sigma(Hbeta) >= 3
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,matched,YANG2024_FINAL,9,non-CL,0.5185385121974873,True,finite fitted faint-state broad Hbeta
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,matched,GREEN2022_FINAL,9,non-CL,1.5654544552842775,True,Green catalogue note uses N_sigma(Hbeta) >= 3
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,faint_only,YANG2024_FINAL,10,unclassifiable,,False,invalid Yang Hbeta fit: ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,faint_only,GREEN2022_FINAL,10,non-CL,2.382209760109954,True,Green catalogue note uses N_sigma(Hbeta) >= 3
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,matched,YANG2024_FINAL,10,non-CL,0.37150289379625,True,finite fitted faint-state broad Hbeta
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,matched,GREEN2022_FINAL,10,non-CL,0.9441643434415536,True,Green catalogue note uses N_sigma(Hbeta) >= 3
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,faint_only,YANG2024_FINAL,11,unclassifiable,,False,invalid Yang Hbeta fit: ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND|ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,faint_only,GREEN2022_FINAL,11,CL,3.0958437998549835,True,Green catalogue note uses N_sigma(Hbeta) >= 3
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,matched,YANG2024_FINAL,11,unclassifiable,,False,invalid Yang Hbeta fit: ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,matched,GREEN2022_FINAL,11,non-CL,1.32617947254102,True,Green catalogue note uses N_sigma(Hbeta) >= 3
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,faint_only,YANG2024_FINAL,12,unclassifiable,,False,invalid Yang Hbeta fit: ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,faint_only,GREEN2022_FINAL,12,CL,3.3230775563331263,True,Green catalogue note uses N_sigma(Hbeta) >= 3
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,matched,YANG2024_FINAL,12,non-CL,0.4029027752591352,True,finite fitted faint-state broad Hbeta
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,matched,GREEN2022_FINAL,12,non-CL,2.46562245083227,True,Green catalogue note uses N_sigma(Hbeta) >= 3
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,faint_only,YANG2024_FINAL,13,unclassifiable,,False,invalid Yang Hbeta fit: ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,faint_only,GREEN2022_FINAL,13,non-CL,2.745286527367498,True,Green catalogue note uses N_sigma(Hbeta) >= 3
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,matched,YANG2024_FINAL,13,non-CL,0.6082437328066158,True,finite fitted faint-state broad Hbeta
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,matched,GREEN2022_FINAL,13,non-CL,1.088880229714797,True,Green catalogue note uses N_sigma(Hbeta) >= 3
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,faint_only,YANG2024_FINAL,14,unclassifiable,,False,invalid Yang Hbeta fit: ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,faint_only,GREEN2022_FINAL,14,CL,3.389782602888492,True,Green catalogue note uses N_sigma(Hbeta) >= 3
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,matched,YANG2024_FINAL,14,non-CL,0.5106188017601672,True,finite fitted faint-state broad Hbeta
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,matched,GREEN2022_FINAL,14,non-CL,2.0034655726170305,True,Green catalogue note uses N_sigma(Hbeta) >= 3
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,faint_only,YANG2024_FINAL,15,unclassifiable,,False,invalid Yang Hbeta fit: ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,faint_only,GREEN2022_FINAL,15,non-CL,1.9808749910423271,True,Green catalogue note uses N_sigma(Hbeta) >= 3
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,matched,YANG2024_FINAL,15,non-CL,0.6150529744012636,True,finite fitted faint-state broad Hbeta
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,matched,GREEN2022_FINAL,15,non-CL,0.9089584316820593,True,Green catalogue note uses N_sigma(Hbeta) >= 3
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,faint_only,YANG2024_FINAL,16,unclassifiable,,False,invalid Yang Hbeta fit: ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND|ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,faint_only,GREEN2022_FINAL,16,CL,4.498862667744218,True,Green catalogue note uses N_sigma(Hbeta) >= 3
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,matched,YANG2024_FINAL,16,unclassifiable,,False,invalid Yang Hbeta fit: ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,matched,GREEN2022_FINAL,16,non-CL,2.195695247644919,True,Green catalogue note uses N_sigma(Hbeta) >= 3
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,faint_only,YANG2024_FINAL,17,unclassifiable,,False,invalid Yang Hbeta fit: ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,faint_only,GREEN2022_FINAL,17,non-CL,2.517223008352227,True,Green catalogue note uses N_sigma(Hbeta) >= 3
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,matched,YANG2024_FINAL,17,non-CL,0.6661650006299289,True,finite fitted faint-state broad Hbeta
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,matched,GREEN2022_FINAL,17,non-CL,1.9367492073703472,True,Green catalogue note uses N_sigma(Hbeta) >= 3
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,faint_only,YANG2024_FINAL,18,unclassifiable,,False,invalid Yang Hbeta fit: ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,faint_only,GREEN2022_FINAL,18,CL,4.017909465040318,True,Green catalogue note uses N_sigma(Hbeta) >= 3
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,matched,YANG2024_FINAL,18,unclassifiable,,False,invalid Yang Hbeta fit: ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,matched,GREEN2022_FINAL,18,non-CL,1.557841766902242,True,Green catalogue note uses N_sigma(Hbeta) >= 3
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,faint_only,YANG2024_FINAL,19,unclassifiable,,False,invalid Yang Hbeta fit: ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,faint_only,GREEN2022_FINAL,19,non-CL,2.760782328768718,True,Green catalogue note uses N_sigma(Hbeta) >= 3
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,matched,YANG2024_FINAL,19,non-CL,0.479803278145585,True,finite fitted faint-state broad Hbeta
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,matched,GREEN2022_FINAL,19,non-CL,1.9577917222847965,True,Green catalogue note uses N_sigma(Hbeta) >= 3
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,faint_only,YANG2024_FINAL,0,unclassifiable,,False,invalid Yang Hbeta fit: ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND|ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,faint_only,GREEN2022_FINAL,0,CL,3.120420605599736,True,Green catalogue note uses N_sigma(Hbeta) >= 3
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,matched,YANG2024_FINAL,0,unclassifiable,,False,invalid Yang Hbeta fit: ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,matched,GREEN2022_FINAL,0,non-CL,1.270754646064124,True,Green catalogue note uses N_sigma(Hbeta) >= 3
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,faint_only,YANG2024_FINAL,1,unclassifiable,,False,invalid Yang Hbeta fit: ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,faint_only,GREEN2022_FINAL,1,CL,5.1772219239527955,True,Green catalogue note uses N_sigma(Hbeta) >= 3
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,matched,YANG2024_FINAL,1,non-CL,0.6407979863298029,True,finite fitted faint-state broad Hbeta
