transition_id,object_id,reference_tier,source_family,criterion_id,snr,comparison,p_faint_only,p_matched,delta_p_second_minus_first,u_faint_only,u_matched,delta_u_second_minus_first,N_classifiable_faint_only,N_classifiable_matched
J084016.42+220624.6,J084016.42+220624.6,GOLD,Dong2025_SDSS_LAMOST,YANG2024_FINAL,5,MATCHED_MINUS_FAINT_ONLY,,,,1.0,1.0,0.0,0,0
J085512.13+032950.6,J085512.13+032950.6,GOLD,Zeltyn2024_SDSSV,GREEN2022_FINAL,5,MATCHED_MINUS_FAINT_ONLY,0.4,0.0,-0.4,0.0,0.0,0.0,50,50
J085512.13+032950.6,J085512.13+032950.6,GOLD,Zeltyn2024_SDSSV,GREEN2022_FINAL,10,MATCHED_MINUS_FAINT_ONLY,1.0,0.7,-0.30000000000000004,0.0,0.0,0.0,50,50
J085512.13+032950.6,J085512.13+032950.6,GOLD,Zeltyn2024_SDSSV,MACLEOD2019_FINAL,5,MATCHED_MINUS_FAINT_ONLY,,,,1.0,1.0,0.0,0,0
J085512.13+032950.6,J085512.13+032950.6,GOLD,Zeltyn2024_SDSSV,MACLEOD2019_FINAL,10,MATCHED_MINUS_FAINT_ONLY,,,,1.0,1.0,0.0,0,0
J085512.13+032950.6,J085512.13+032950.6,GOLD,Zeltyn2024_SDSSV,YANG2024_FINAL,5,MATCHED_MINUS_FAINT_ONLY,0.037037037037037035,0.08695652173913043,0.0499194847020934,0.46,0.54,0.08000000000000002,27,23
J085512.13+032950.6,J085512.13+032950.6,GOLD,Zeltyn2024_SDSSV,YANG2024_FINAL,10,MATCHED_MINUS_FAINT_ONLY,0.04,0.05,0.010000000000000002,0.5,0.6,0.09999999999999998,25,20
J095536.70+103752.4,J095536.70+103752.4,GOLD,Dong2025_SDSS_LAMOST,GREEN2022_FINAL,5,MATCHED_MINUS_FAINT_ONLY,1.0,1.0,0.0,0.0,0.0,0.0,50,50
J095536.70+103752.4,J095536.70+103752.4,GOLD,Dong2025_SDSS_LAMOST,MACLEOD2019_FINAL,5,MATCHED_MINUS_FAINT_ONLY,,,,1.0,1.0,0.0,0,0
J095536.70+103752.4,J095536.70+103752.4,GOLD,Dong2025_SDSS_LAMOST,YANG2024_FINAL,5,MATCHED_MINUS_FAINT_ONLY,0.1935483870967742,0.6551724137931034,0.46162402669632924,0.38,0.42,0.03999999999999998,31,29
J1003+0202,J1003+0202,GOLD,Yang2025_turn_on,GREEN2022_FINAL,5,MATCHED_MINUS_FAINT_ONLY,0.0,0.0,0.0,0.0,0.0,0.0,50,50
J1003+0202,J1003+0202,GOLD,Yang2025_turn_on,GREEN2022_FINAL,10,MATCHED_MINUS_FAINT_ONLY,0.02,0.0,-0.02,0.0,0.0,0.0,50,50
J1003+0202,J1003+0202,GOLD,Yang2025_turn_on,MACLEOD2019_FINAL,5,MATCHED_MINUS_FAINT_ONLY,,,,1.0,1.0,0.0,0,0
J1003+0202,J1003+0202,GOLD,Yang2025_turn_on,MACLEOD2019_FINAL,10,MATCHED_MINUS_FAINT_ONLY,,,,1.0,1.0,0.0,0,0
J1003+0202,J1003+0202,GOLD,Yang2025_turn_on,YANG2024_FINAL,5,MATCHED_MINUS_FAINT_ONLY,0.0,0.0,0.0,0.74,0.84,0.09999999999999998,13,8
J1003+0202,J1003+0202,GOLD,Yang2025_turn_on,YANG2024_FINAL,10,MATCHED_MINUS_FAINT_ONLY,0.0,0.25,0.25,0.88,0.92,0.040000000000000036,6,4
J1003+0458,J1003+0458,GOLD,Yang2025_turn_on,GREEN2022_FINAL,5,MATCHED_MINUS_FAINT_ONLY,0.02,0.0,-0.02,0.0,0.0,0.0,50,50
J1003+0458,J1003+0458,GOLD,Yang2025_turn_on,MACLEOD2019_FINAL,5,MATCHED_MINUS_FAINT_ONLY,,,,1.0,1.0,0.0,0,0
J1003+0458,J1003+0458,GOLD,Yang2025_turn_on,YANG2024_FINAL,5,MATCHED_MINUS_FAINT_ONLY,,,,1.0,1.0,0.0,0,0
J1009+3539,J1009+3539,GOLD,Yang2025_turn_on,GREEN2022_FINAL,5,MATCHED_MINUS_FAINT_ONLY,0.0,0.0,0.0,0.0,0.0,0.0,50,50
J1009+3539,J1009+3539,GOLD,Yang2025_turn_on,GREEN2022_FINAL,10,MATCHED_MINUS_FAINT_ONLY,0.0,0.0,0.0,0.0,0.0,0.0,50,50
J1009+3539,J1009+3539,GOLD,Yang2025_turn_on,MACLEOD2019_FINAL,5,MATCHED_MINUS_FAINT_ONLY,,,,1.0,1.0,0.0,0,0
J1009+3539,J1009+3539,GOLD,Yang2025_turn_on,MACLEOD2019_FINAL,10,MATCHED_MINUS_FAINT_ONLY,,,,1.0,1.0,0.0,0,0
J1009+3539,J1009+3539,GOLD,Yang2025_turn_on,YANG2024_FINAL,5,MATCHED_MINUS_FAINT_ONLY,0.6666666666666666,0.5,-0.16666666666666663,0.94,0.96,0.020000000000000018,3,2
J1009+3539,J1009+3539,GOLD,Yang2025_turn_on,YANG2024_FINAL,10,MATCHED_MINUS_FAINT_ONLY,1.0,1.0,0.0,0.94,0.98,0.040000000000000036,3,1
J101403.44+193609.1,J101403.44+193609.1,GOLD,Dong2025_SDSS_LAMOST,GREEN2022_FINAL,5,MATCHED_MINUS_FAINT_ONLY,0.0,0.0,0.0,0.0,0.0,0.0,50,50
J101403.44+193609.1,J101403.44+193609.1,GOLD,Dong2025_SDSS_LAMOST,MACLEOD2019_FINAL,5,MATCHED_MINUS_FAINT_ONLY,,,,1.0,1.0,0.0,0,0
J101403.44+193609.1,J101403.44+193609.1,GOLD,Dong2025_SDSS_LAMOST,YANG2024_FINAL,5,MATCHED_MINUS_FAINT_ONLY,0.2765957446808511,0.2553191489361702,-0.021276595744680882,0.06,0.06,0.0,47,47
J101417.87+351106.8,J101417.87+351106.8,GOLD,Dong2025_SDSS_LAMOST,GREEN2022_FINAL,5,MATCHED_MINUS_FAINT_ONLY,0.86,0.0,-0.86,0.0,0.0,0.0,50,50
J101417.87+351106.8,J101417.87+351106.8,GOLD,Dong2025_SDSS_LAMOST,MACLEOD2019_FINAL,5,MATCHED_MINUS_FAINT_ONLY,,,,1.0,1.0,0.0,0,0
J101417.87+351106.8,J101417.87+351106.8,GOLD,Dong2025_SDSS_LAMOST,YANG2024_FINAL,5,MATCHED_MINUS_FAINT_ONLY,0.2,0.2222222222222222,0.0222222222222222,0.8,0.82,0.019999999999999907,10,9
J104043.38+273518.9,J104043.38+273518.9,GOLD,Dong2025_SDSS_LAMOST,GREEN2022_FINAL,5,MATCHED_MINUS_FAINT_ONLY,0.0,0.0,0.0,0.0,0.0,0.0,50,50
J104043.38+273518.9,J104043.38+273518.9,GOLD,Dong2025_SDSS_LAMOST,MACLEOD2019_FINAL,5,MATCHED_MINUS_FAINT_ONLY,,,,1.0,1.0,0.0,0,0
J104043.38+273518.9,J104043.38+273518.9,GOLD,Dong2025_SDSS_LAMOST,YANG2024_FINAL,5,MATCHED_MINUS_FAINT_ONLY,0.1,0.1111111111111111,0.0111111111111111,0.6,0.64,0.040000000000000036,20,18
J104111.56+555142.4,J104111.56+555142.4,GOLD,Dong2025_SDSS_LAMOST,GREEN2022_FINAL,5,MATCHED_MINUS_FAINT_ONLY,1.0,0.02,-0.98,0.0,0.0,0.0,50,50
J104111.56+555142.4,J104111.56+555142.4,GOLD,Dong2025_SDSS_LAMOST,MACLEOD2019_FINAL,5,MATCHED_MINUS_FAINT_ONLY,,,,1.0,1.0,0.0,0,0
J104111.56+555142.4,J104111.56+555142.4,GOLD,Dong2025_SDSS_LAMOST,YANG2024_FINAL,5,MATCHED_MINUS_FAINT_ONLY,1.0,1.0,0.0,0.36,0.56,0.20000000000000007,32,22
J104427.75+271806.3,J104427.75+271806.3,GOLD,Dong2025_SDSS_LAMOST,GREEN2022_FINAL,5,MATCHED_MINUS_FAINT_ONLY,0.08,0.04,-0.04,0.0,0.0,0.0,50,50
J104427.75+271806.3,J104427.75+271806.3,GOLD,Dong2025_SDSS_LAMOST,GREEN2022_FINAL,10,MATCHED_MINUS_FAINT_ONLY,0.76,0.54,-0.21999999999999997,0.0,0.0,0.0,50,50
J104427.75+271806.3,J104427.75+271806.3,GOLD,Dong2025_SDSS_LAMOST,MACLEOD2019_FINAL,5,MATCHED_MINUS_FAINT_ONLY,,,,1.0,1.0,0.0,0,0
J104427.75+271806.3,J104427.75+271806.3,GOLD,Dong2025_SDSS_LAMOST,MACLEOD2019_FINAL,10,MATCHED_MINUS_FAINT_ONLY,,,,1.0,1.0,0.0,0,0
J104427.75+271806.3,J104427.75+271806.3,GOLD,Dong2025_SDSS_LAMOST,YANG2024_FINAL,5,MATCHED_MINUS_FAINT_ONLY,,0.13636363636363635,,1.0,0.56,-0.43999999999999995,0,22
J104427.75+271806.3,J104427.75+271806.3,GOLD,Dong2025_SDSS_LAMOST,YANG2024_FINAL,10,MATCHED_MINUS_FAINT_ONLY,,0.0,,1.0,0.5,-0.5,0,25
J105233.83+454949.3,J105233.83+454949.3,GOLD,Dong2025_SDSS_LAMOST,GREEN2022_FINAL,5,MATCHED_MINUS_FAINT_ONLY,0.0,0.0,0.0,0.0,0.0,0.0,50,50
J105233.83+454949.3,J105233.83+454949.3,GOLD,Dong2025_SDSS_LAMOST,GREEN2022_FINAL,10,MATCHED_MINUS_FAINT_ONLY,0.0,0.02,0.02,0.0,0.0,0.0,50,50
J105233.83+454949.3,J105233.83+454949.3,GOLD,Dong2025_SDSS_LAMOST,MACLEOD2019_FINAL,5,MATCHED_MINUS_FAINT_ONLY,,,,1.0,1.0,0.0,0,0
J105233.83+454949.3,J105233.83+454949.3,GOLD,Dong2025_SDSS_LAMOST,MACLEOD2019_FINAL,10,MATCHED_MINUS_FAINT_ONLY,,,,1.0,1.0,0.0,0,0
J105233.83+454949.3,J105233.83+454949.3,GOLD,Dong2025_SDSS_LAMOST,YANG2024_FINAL,5,MATCHED_MINUS_FAINT_ONLY,,0.35294117647058826,,1.0,0.66,-0.33999999999999997,0,17
J105233.83+454949.3,J105233.83+454949.3,GOLD,Dong2025_SDSS_LAMOST,YANG2024_FINAL,10,MATCHED_MINUS_FAINT_ONLY,,0.3157894736842105,,1.0,0.62,-0.38,0,19
J1110+0804,J1110+0804,GOLD,Yang2025_turn_on,GREEN2022_FINAL,5,MATCHED_MINUS_FAINT_ONLY,0.0,0.0,0.0,0.0,0.0,0.0,50,50
J1110+0804,J1110+0804,GOLD,Yang2025_turn_on,GREEN2022_FINAL,10,MATCHED_MINUS_FAINT_ONLY,0.06,0.08,0.020000000000000004,0.0,0.0,0.0,50,50
J1110+0804,J1110+0804,GOLD,Yang2025_turn_on,MACLEOD2019_FINAL,5,MATCHED_MINUS_FAINT_ONLY,,,,1.0,1.0,0.0,0,0
J1110+0804,J1110+0804,GOLD,Yang2025_turn_on,MACLEOD2019_FINAL,10,MATCHED_MINUS_FAINT_ONLY,,,,1.0,1.0,0.0,0,0
J1110+0804,J1110+0804,GOLD,Yang2025_turn_on,YANG2024_FINAL,5,MATCHED_MINUS_FAINT_ONLY,,0.05263157894736842,,1.0,0.62,-0.38,0,19
J1110+0804,J1110+0804,GOLD,Yang2025_turn_on,YANG2024_FINAL,10,MATCHED_MINUS_FAINT_ONLY,,0.09523809523809523,,1.0,0.58,-0.42000000000000004,0,21
J112229.65+214815.6,J112229.65+214815.6,GOLD,Dong2025_SDSS_LAMOST,GREEN2022_FINAL,5,MATCHED_MINUS_FAINT_ONLY,0.0,0.0,0.0,0.0,0.0,0.0,50,50
J112229.65+214815.6,J112229.65+214815.6,GOLD,Dong2025_SDSS_LAMOST,GREEN2022_FINAL,10,MATCHED_MINUS_FAINT_ONLY,0.66,0.18,-0.48000000000000004,0.0,0.0,0.0,50,50
J112229.65+214815.6,J112229.65+214815.6,GOLD,Dong2025_SDSS_LAMOST,MACLEOD2019_FINAL,5,MATCHED_MINUS_FAINT_ONLY,,,,1.0,1.0,0.0,0,0
J112229.65+214815.6,J112229.65+214815.6,GOLD,Dong2025_SDSS_LAMOST,MACLEOD2019_FINAL,10,MATCHED_MINUS_FAINT_ONLY,,,,1.0,1.0,0.0,0,0
J112229.65+214815.6,J112229.65+214815.6,GOLD,Dong2025_SDSS_LAMOST,YANG2024_FINAL,5,MATCHED_MINUS_FAINT_ONLY,0.36,0.2222222222222222,-0.13777777777777778,0.5,0.64,0.14,25,18
J112229.65+214815.6,J112229.65+214815.6,GOLD,Dong2025_SDSS_LAMOST,YANG2024_FINAL,10,MATCHED_MINUS_FAINT_ONLY,0.2222222222222222,0.15625,-0.06597222222222221,0.28,0.36,0.07999999999999996,36,32
J113402.78+290403.9,J113402.78+290403.9,GOLD,Dong2025_SDSS_LAMOST,GREEN2022_FINAL,5,MATCHED_MINUS_FAINT_ONLY,1.0,0.24,-0.76,0.0,0.0,0.0,50,50
J113402.78+290403.9,J113402.78+290403.9,GOLD,Dong2025_SDSS_LAMOST,MACLEOD2019_FINAL,5,MATCHED_MINUS_FAINT_ONLY,,,,1.0,1.0,0.0,0,0
J113402.78+290403.9,J113402.78+290403.9,GOLD,Dong2025_SDSS_LAMOST,YANG2024_FINAL,5,MATCHED_MINUS_FAINT_ONLY,0.23076923076923078,0.17391304347826086,-0.05685618729096992,0.48,0.54,0.06000000000000005,26,23
J114154.47+063509.6,J114154.47+063509.6,GOLD,Dong2025_SDSS_LAMOST,GREEN2022_FINAL,5,MATCHED_MINUS_FAINT_ONLY,,,,1.0,1.0,0.0,0,0
J114154.47+063509.6,J114154.47+063509.6,GOLD,Dong2025_SDSS_LAMOST,GREEN2022_FINAL,10,MATCHED_MINUS_FAINT_ONLY,,,,1.0,1.0,0.0,0,0
J114154.47+063509.6,J114154.47+063509.6,GOLD,Dong2025_SDSS_LAMOST,MACLEOD2019_FINAL,5,MATCHED_MINUS_FAINT_ONLY,,,,1.0,1.0,0.0,0,0
J114154.47+063509.6,J114154.47+063509.6,GOLD,Dong2025_SDSS_LAMOST,MACLEOD2019_FINAL,10,MATCHED_MINUS_FAINT_ONLY,,,,1.0,1.0,0.0,0,0
J114154.47+063509.6,J114154.47+063509.6,GOLD,Dong2025_SDSS_LAMOST,YANG2024_FINAL,5,MATCHED_MINUS_FAINT_ONLY,,,,1.0,1.0,0.0,0,0
J114154.47+063509.6,J114154.47+063509.6,GOLD,Dong2025_SDSS_LAMOST,YANG2024_FINAL,10,MATCHED_MINUS_FAINT_ONLY,,,,1.0,1.0,0.0,0,0
J114634.92+282642.0,J114634.92+282642.0,GOLD,Dong2025_SDSS_LAMOST,GREEN2022_FINAL,5,MATCHED_MINUS_FAINT_ONLY,0.48,0.26,-0.21999999999999997,0.0,0.0,0.0,50,50
J114634.92+282642.0,J114634.92+282642.0,GOLD,Dong2025_SDSS_LAMOST,MACLEOD2019_FINAL,5,MATCHED_MINUS_FAINT_ONLY,,,,1.0,1.0,0.0,0,0
J114634.92+282642.0,J114634.92+282642.0,GOLD,Dong2025_SDSS_LAMOST,YANG2024_FINAL,5,MATCHED_MINUS_FAINT_ONLY,,0.125,,1.0,0.68,-0.31999999999999995,0,16
J120635.22+175312.3,J120635.22+175312.3,GOLD,Dong2025_SDSS_LAMOST,GREEN2022_FINAL,5,MATCHED_MINUS_FAINT_ONLY,0.0,0.0,0.0,0.0,0.0,0.0,50,50
J120635.22+175312.3,J120635.22+175312.3,GOLD,Dong2025_SDSS_LAMOST,GREEN2022_FINAL,10,MATCHED_MINUS_FAINT_ONLY,0.68,0.36,-0.32000000000000006,0.0,0.0,0.0,50,50
J120635.22+175312.3,J120635.22+175312.3,GOLD,Dong2025_SDSS_LAMOST,MACLEOD2019_FINAL,5,MATCHED_MINUS_FAINT_ONLY,,,,1.0,1.0,0.0,0,0
J120635.22+175312.3,J120635.22+175312.3,GOLD,Dong2025_SDSS_LAMOST,MACLEOD2019_FINAL,10,MATCHED_MINUS_FAINT_ONLY,,,,1.0,1.0,0.0,0,0
J120635.22+175312.3,J120635.22+175312.3,GOLD,Dong2025_SDSS_LAMOST,YANG2024_FINAL,5,MATCHED_MINUS_FAINT_ONLY,1.0,0.8372093023255814,-0.16279069767441856,0.02,0.14,0.12000000000000001,49,43
J120635.22+175312.3,J120635.22+175312.3,GOLD,Dong2025_SDSS_LAMOST,YANG2024_FINAL,10,MATCHED_MINUS_FAINT_ONLY,1.0,0.9032258064516129,-0.09677419354838712,0.2,0.38,0.18,40,31
J121618.00+515946.1,J121618.00+515946.1,GOLD,Zeltyn2024_SDSSV,GREEN2022_FINAL,5,MATCHED_MINUS_FAINT_ONLY,0.0,0.0,0.0,0.0,0.0,0.0,50,50
