arm,snr,criterion_id,source_family,N_transition_eligible,N_transition_classifiable,family_R,family_U
matched,5,MACLEOD2019_FINAL,Ruan2016,2,0,,1.0
matched,5,MACLEOD2019_FINAL,Runnoe2016,1,0,,1.0
matched,5,MACLEOD2019_FINAL,Yang2025_turn_on,4,0,,1.0
matched,5,MACLEOD2019_FINAL,Zeltyn2024_SDSSV,8,0,,1.0
matched,5,YANG2024_FINAL,Dong2025_SDSS_LAMOST,25,20,0.39613215344759356,0.6544000000000001
matched,5,YANG2024_FINAL,Green2022,2,2,0.3961988304093567,0.63
matched,5,YANG2024_FINAL,LaMassa2015,1,0,,1.0
matched,5,YANG2024_FINAL,MacLeod2016,1,1,0.8666666666666667,0.7
matched,5,YANG2024_FINAL,Potts2021,3,3,0.20472163495419307,0.6
matched,5,YANG2024_FINAL,Ruan2016,2,2,0.6517857142857143,0.85
matched,5,YANG2024_FINAL,Runnoe2016,1,1,0.8888888888888888,0.82
matched,5,YANG2024_FINAL,Yang2025_turn_on,4,3,0.18421052631578946,0.855
matched,5,YANG2024_FINAL,Zeltyn2024_SDSSV,8,8,0.33088150719224885,0.6975
matched,10,GREEN2022_FINAL,Dong2025_SDSS_LAMOST,10,8,0.30500000000000005,0.2
matched,10,GREEN2022_FINAL,Green2022,2,2,0.5,0.0
matched,10,GREEN2022_FINAL,LaMassa2015,1,1,1.0,0.0
matched,10,GREEN2022_FINAL,MacLeod2016,1,1,0.88,0.0
matched,10,GREEN2022_FINAL,Potts2021,2,2,0.15,0.0
matched,10,GREEN2022_FINAL,Ruan2016,1,1,0.44,0.0
matched,10,GREEN2022_FINAL,Runnoe2016,1,1,1.0,0.0
matched,10,GREEN2022_FINAL,Yang2025_turn_on,3,3,0.02666666666666667,0.0
matched,10,GREEN2022_FINAL,Zeltyn2024_SDSSV,6,6,0.37000000000000005,0.0
matched,10,MACLEOD2019_FINAL,Dong2025_SDSS_LAMOST,10,0,,1.0
matched,10,MACLEOD2019_FINAL,Green2022,2,0,,1.0
matched,10,MACLEOD2019_FINAL,LaMassa2015,1,0,,1.0
matched,10,MACLEOD2019_FINAL,MacLeod2016,1,0,,1.0
matched,10,MACLEOD2019_FINAL,Potts2021,2,0,,1.0
matched,10,MACLEOD2019_FINAL,Ruan2016,1,0,,1.0
matched,10,MACLEOD2019_FINAL,Runnoe2016,1,0,,1.0
matched,10,MACLEOD2019_FINAL,Yang2025_turn_on,3,0,,1.0
matched,10,MACLEOD2019_FINAL,Zeltyn2024_SDSSV,6,0,,1.0
matched,10,YANG2024_FINAL,Dong2025_SDSS_LAMOST,10,8,0.2255108073696253,0.5960000000000001
matched,10,YANG2024_FINAL,Green2022,2,2,0.4166666666666667,0.64
matched,10,YANG2024_FINAL,LaMassa2015,1,0,,1.0
matched,10,YANG2024_FINAL,MacLeod2016,1,1,0.8666666666666667,0.7
matched,10,YANG2024_FINAL,Potts2021,2,2,0.014705882352941176,0.45999999999999996
matched,10,YANG2024_FINAL,Ruan2016,1,0,,1.0
matched,10,YANG2024_FINAL,Runnoe2016,1,1,1.0,0.88
matched,10,YANG2024_FINAL,Yang2025_turn_on,3,3,0.44841269841269843,0.8266666666666667
matched,10,YANG2024_FINAL,Zeltyn2024_SDSSV,6,6,0.3844105691056911,0.6566666666666666
