robustness,arm,snr,criterion_id,omitted_unit,N_transition_eligible,N_transition_classifiable,R_equal_transition,U_equal_transition
LEAVE_ONE_SOURCE_FAMILY_OUT,faint_only,10,MACLEOD2019_FINAL,LaMassa2015,28,0,,1.0
LEAVE_ONE_SOURCE_FAMILY_OUT,faint_only,10,MACLEOD2019_FINAL,MacLeod2016,28,0,,1.0
LEAVE_ONE_SOURCE_FAMILY_OUT,faint_only,10,MACLEOD2019_FINAL,Potts2021,27,0,,1.0
LEAVE_ONE_SOURCE_FAMILY_OUT,faint_only,10,MACLEOD2019_FINAL,Ruan2016,28,0,,1.0
LEAVE_ONE_SOURCE_FAMILY_OUT,faint_only,10,MACLEOD2019_FINAL,Runnoe2016,28,0,,1.0
LEAVE_ONE_SOURCE_FAMILY_OUT,faint_only,10,MACLEOD2019_FINAL,Yang2025_turn_on,25,0,,1.0
LEAVE_ONE_SOURCE_FAMILY_OUT,faint_only,10,MACLEOD2019_FINAL,Zeltyn2024_SDSSV,22,0,,1.0
LEAVE_ONE_SOURCE_FAMILY_OUT,faint_only,10,YANG2024_FINAL,Dong2025_SDSS_LAMOST,19,12,0.43142525214636995,0.7705263157894736
LEAVE_ONE_SOURCE_FAMILY_OUT,faint_only,10,YANG2024_FINAL,Green2022,27,15,0.3757399627684699,0.7533333333333333
LEAVE_ONE_SOURCE_FAMILY_OUT,faint_only,10,YANG2024_FINAL,LaMassa2015,28,17,0.3844764377368852,0.7342857142857143
LEAVE_ONE_SOURCE_FAMILY_OUT,faint_only,10,YANG2024_FINAL,MacLeod2016,28,16,0.3491312150954405,0.7485714285714286
LEAVE_ONE_SOURCE_FAMILY_OUT,faint_only,10,YANG2024_FINAL,Potts2021,27,16,0.4085062150954405,0.742962962962963
LEAVE_ONE_SOURCE_FAMILY_OUT,faint_only,10,YANG2024_FINAL,Ruan2016,28,17,0.3844764377368852,0.7342857142857143
LEAVE_ONE_SOURCE_FAMILY_OUT,faint_only,10,YANG2024_FINAL,Runnoe2016,28,16,0.3460062150954405,0.7385714285714287
LEAVE_ONE_SOURCE_FAMILY_OUT,faint_only,10,YANG2024_FINAL,Yang2025_turn_on,25,15,0.3690732961018032,0.7096000000000001
LEAVE_ONE_SOURCE_FAMILY_OUT,faint_only,10,YANG2024_FINAL,Zeltyn2024_SDSSV,22,12,0.43408303464755077,0.77
