arm,N_tr,mean,median,q25,q75,frac_abs_delta_below_0p05,frac_delta_at_least_0p2,top5_share_of_total
Faint-only,27,0.2896296296296296,0.12000000000000001,0.0,0.63,0.4444444444444444,0.48148148148148145,0.5115089514066496
Matched,25,0.25920000000000004,0.18,0.0,0.44,0.36,0.48,0.595679012345679
