robustness,arm,snr,criterion_id,omitted_unit,N_transition_eligible,N_transition_classifiable,R_equal_transition,U_equal_transition
LEAVE_ONE_TRANSITION_OUT,faint_only,5,GREEN2022_FINAL,J160157.53+490207.8,47,43,0.3130232558139535,0.0851063829787234
LEAVE_ONE_TRANSITION_OUT,faint_only,5,GREEN2022_FINAL,SDSSJ000236.25-002724.8,47,43,0.3362790697674419,0.0851063829787234
LEAVE_ONE_TRANSITION_OUT,faint_only,5,GREEN2022_FINAL,SDSSJ012648.08-083948.0,47,43,0.3241860465116279,0.0851063829787234
LEAVE_ONE_TRANSITION_OUT,faint_only,5,GREEN2022_FINAL,SDSSJ015957.64+003310.4,47,43,0.3130232558139535,0.0851063829787234
LEAVE_ONE_TRANSITION_OUT,faint_only,5,GREEN2022_FINAL,SDSSJ021359.79+004226.81,47,43,0.33581395348837206,0.0851063829787234
LEAVE_ONE_TRANSITION_OUT,faint_only,5,GREEN2022_FINAL,SDSSJ082942.66+415436.8,47,43,0.3241860465116279,0.0851063829787234
LEAVE_ONE_TRANSITION_OUT,faint_only,5,GREEN2022_FINAL,SDSSJ101152.98+544206.4,47,43,0.3130232558139535,0.0851063829787234
LEAVE_ONE_TRANSITION_OUT,faint_only,5,GREEN2022_FINAL,SDSSJ102152.34+464515.6,47,43,0.3130232558139535,0.0851063829787234
LEAVE_ONE_TRANSITION_OUT,faint_only,5,GREEN2022_FINAL,SDSSJ105325.40+302419.34,47,43,0.3190697674418605,0.0851063829787234
LEAVE_ONE_TRANSITION_OUT,faint_only,5,GREEN2022_FINAL,SDSSJ135855.83+493414.2,47,43,0.3274418604651163,0.0851063829787234
LEAVE_ONE_TRANSITION_OUT,faint_only,5,GREEN2022_FINAL,SDSSJ233602.98+001728.7,47,43,0.33395348837209304,0.0851063829787234
LEAVE_ONE_TRANSITION_OUT,faint_only,5,MACLEOD2019_FINAL,J075934.95+322143.3,47,0,,1.0
LEAVE_ONE_TRANSITION_OUT,faint_only,5,MACLEOD2019_FINAL,J080133.29+341737.6,47,0,,1.0
LEAVE_ONE_TRANSITION_OUT,faint_only,5,MACLEOD2019_FINAL,J080711.72+194439.7,47,0,,1.0
LEAVE_ONE_TRANSITION_OUT,faint_only,5,MACLEOD2019_FINAL,J083716.47+035606.1,47,0,,1.0
LEAVE_ONE_TRANSITION_OUT,faint_only,5,MACLEOD2019_FINAL,J083826.50+371906.7,47,0,,1.0
LEAVE_ONE_TRANSITION_OUT,faint_only,5,MACLEOD2019_FINAL,J084016.42+220624.6,47,0,,1.0
LEAVE_ONE_TRANSITION_OUT,faint_only,5,MACLEOD2019_FINAL,J085512.13+032950.6,47,0,,1.0
LEAVE_ONE_TRANSITION_OUT,faint_only,5,MACLEOD2019_FINAL,J095536.70+103752.4,47,0,,1.0
LEAVE_ONE_TRANSITION_OUT,faint_only,5,MACLEOD2019_FINAL,J1000+0354,47,0,,1.0
LEAVE_ONE_TRANSITION_OUT,faint_only,5,MACLEOD2019_FINAL,J1003+0202,47,0,,1.0
LEAVE_ONE_TRANSITION_OUT,faint_only,5,MACLEOD2019_FINAL,J1003+0458,47,0,,1.0
LEAVE_ONE_TRANSITION_OUT,faint_only,5,MACLEOD2019_FINAL,J1009+3539,47,0,,1.0
LEAVE_ONE_TRANSITION_OUT,faint_only,5,MACLEOD2019_FINAL,J101403.44+193609.1,47,0,,1.0
LEAVE_ONE_TRANSITION_OUT,faint_only,5,MACLEOD2019_FINAL,J101417.87+351106.8,47,0,,1.0
LEAVE_ONE_TRANSITION_OUT,faint_only,5,MACLEOD2019_FINAL,J104043.38+273518.9,47,0,,1.0
LEAVE_ONE_TRANSITION_OUT,faint_only,5,MACLEOD2019_FINAL,J104111.56+555142.4,47,0,,1.0
LEAVE_ONE_TRANSITION_OUT,faint_only,5,MACLEOD2019_FINAL,J104427.75+271806.3,47,0,,1.0
LEAVE_ONE_TRANSITION_OUT,faint_only,5,MACLEOD2019_FINAL,J105233.83+454949.3,47,0,,1.0
LEAVE_ONE_TRANSITION_OUT,faint_only,5,MACLEOD2019_FINAL,J1110+0804,47,0,,1.0
LEAVE_ONE_TRANSITION_OUT,faint_only,5,MACLEOD2019_FINAL,J112229.65+214815.6,47,0,,1.0
LEAVE_ONE_TRANSITION_OUT,faint_only,5,MACLEOD2019_FINAL,J113402.78+290403.9,47,0,,1.0
LEAVE_ONE_TRANSITION_OUT,faint_only,5,MACLEOD2019_FINAL,J114154.47+063509.6,47,0,,1.0
LEAVE_ONE_TRANSITION_OUT,faint_only,5,MACLEOD2019_FINAL,J114634.92+282642.0,47,0,,1.0
