condition_id,transition_id,object_id,reference_tier,source_family,arm,snr,criterion_id,N_eligible_realizations,N_fit_completed,N_fit_valid,N_classifiable,N_CL,N_nonCL,N_unclassifiable,p_i,u_i,applicable_by_design
J080711.72+194439.7|faint_only|snr10,J080711.72+194439.7,J080711.72+194439.7,GOLD,Zeltyn2024_SDSSV,faint_only,10,MACLEOD2019_FINAL,50,0,0,0,0,0,50,,1.0,False
J080711.72+194439.7|faint_only|snr10,J080711.72+194439.7,J080711.72+194439.7,GOLD,Zeltyn2024_SDSSV,faint_only,10,YANG2024_FINAL,50,50,31,31,1,30,19,0.03225806451612903,0.38,True
J080711.72+194439.7|faint_only|snr5,J080711.72+194439.7,J080711.72+194439.7,GOLD,Zeltyn2024_SDSSV,faint_only,5,GREEN2022_FINAL,50,50,50,50,10,40,0,0.2,0.0,True
J080711.72+194439.7|faint_only|snr5,J080711.72+194439.7,J080711.72+194439.7,GOLD,Zeltyn2024_SDSSV,faint_only,5,MACLEOD2019_FINAL,50,0,0,0,0,0,50,,1.0,False
J080711.72+194439.7|faint_only|snr5,J080711.72+194439.7,J080711.72+194439.7,GOLD,Zeltyn2024_SDSSV,faint_only,5,YANG2024_FINAL,50,50,32,32,2,30,18,0.0625,0.36,True
J080711.72+194439.7|matched|snr10,J080711.72+194439.7,J080711.72+194439.7,GOLD,Zeltyn2024_SDSSV,matched,10,GREEN2022_FINAL,50,50,50,50,2,48,0,0.04,0.0,True
J080711.72+194439.7|matched|snr10,J080711.72+194439.7,J080711.72+194439.7,GOLD,Zeltyn2024_SDSSV,matched,10,MACLEOD2019_FINAL,50,0,0,0,0,0,50,,1.0,False
J080711.72+194439.7|matched|snr10,J080711.72+194439.7,J080711.72+194439.7,GOLD,Zeltyn2024_SDSSV,matched,10,YANG2024_FINAL,50,50,25,25,1,24,25,0.04,0.5,True
J080711.72+194439.7|matched|snr5,J080711.72+194439.7,J080711.72+194439.7,GOLD,Zeltyn2024_SDSSV,matched,5,GREEN2022_FINAL,50,50,50,50,0,50,0,0.0,0.0,True
J080711.72+194439.7|matched|snr5,J080711.72+194439.7,J080711.72+194439.7,GOLD,Zeltyn2024_SDSSV,matched,5,MACLEOD2019_FINAL,50,0,0,0,0,0,50,,1.0,False
J080711.72+194439.7|matched|snr5,J080711.72+194439.7,J080711.72+194439.7,GOLD,Zeltyn2024_SDSSV,matched,5,YANG2024_FINAL,50,50,27,27,4,23,23,0.14814814814814814,0.46,True
J083716.47+035606.1|faint_only|snr10,J083716.47+035606.1,J083716.47+035606.1,GOLD,Zeltyn2024_SDSSV,faint_only,10,GREEN2022_FINAL,50,50,50,50,50,0,0,1.0,0.0,True
J083716.47+035606.1|faint_only|snr10,J083716.47+035606.1,J083716.47+035606.1,GOLD,Zeltyn2024_SDSSV,faint_only,10,MACLEOD2019_FINAL,50,0,0,0,0,0,50,,1.0,False
J083716.47+035606.1|faint_only|snr10,J083716.47+035606.1,J083716.47+035606.1,GOLD,Zeltyn2024_SDSSV,faint_only,10,YANG2024_FINAL,50,50,0,0,0,0,50,,1.0,True
J083716.47+035606.1|faint_only|snr5,J083716.47+035606.1,J083716.47+035606.1,GOLD,Zeltyn2024_SDSSV,faint_only,5,GREEN2022_FINAL,50,50,50,50,50,0,0,1.0,0.0,True
J083716.47+035606.1|faint_only|snr5,J083716.47+035606.1,J083716.47+035606.1,GOLD,Zeltyn2024_SDSSV,faint_only,5,MACLEOD2019_FINAL,50,0,0,0,0,0,50,,1.0,False
J083716.47+035606.1|faint_only|snr5,J083716.47+035606.1,J083716.47+035606.1,GOLD,Zeltyn2024_SDSSV,faint_only,5,YANG2024_FINAL,50,50,0,0,0,0,50,,1.0,True
J083716.47+035606.1|matched|snr10,J083716.47+035606.1,J083716.47+035606.1,GOLD,Zeltyn2024_SDSSV,matched,10,GREEN2022_FINAL,50,50,50,50,49,1,0,0.98,0.0,True
J083716.47+035606.1|matched|snr10,J083716.47+035606.1,J083716.47+035606.1,GOLD,Zeltyn2024_SDSSV,matched,10,MACLEOD2019_FINAL,50,0,0,0,0,0,50,,1.0,False
J083716.47+035606.1|matched|snr10,J083716.47+035606.1,J083716.47+035606.1,GOLD,Zeltyn2024_SDSSV,matched,10,YANG2024_FINAL,50,50,4,4,2,2,46,0.5,0.92,True
J083716.47+035606.1|matched|snr5,J083716.47+035606.1,J083716.47+035606.1,GOLD,Zeltyn2024_SDSSV,matched,5,GREEN2022_FINAL,50,50,50,50,49,1,0,0.98,0.0,True
J083716.47+035606.1|matched|snr5,J083716.47+035606.1,J083716.47+035606.1,GOLD,Zeltyn2024_SDSSV,matched,5,MACLEOD2019_FINAL,50,0,0,0,0,0,50,,1.0,False
J083716.47+035606.1|matched|snr5,J083716.47+035606.1,J083716.47+035606.1,GOLD,Zeltyn2024_SDSSV,matched,5,YANG2024_FINAL,50,50,1,1,0,1,49,0.0,0.98,True
J083826.50+371906.7|faint_only|snr5,J083826.50+371906.7,J083826.50+371906.7,GOLD,Dong2025_SDSS_LAMOST,faint_only,5,GREEN2022_FINAL,50,0,0,0,0,0,50,,1.0,False
