protocol,arm,snr,N_tr_classifiable,N_tr_applicable,R_conditional,Y_operational,inflation_factor
Green-statistic,Faint-only,5,44,44,0.32863636363636367,0.32863636363636367,1.0
Green-statistic,Faint-only,10,27,27,0.5733333333333334,0.5733333333333334,1.0
Green-statistic,Matched,5,43,43,0.13209302325581396,0.13209302325581396,1.0
Green-statistic,Matched,10,25,25,0.37439999999999996,0.37439999999999996,1.0
Yang-ratio,Faint-only,5,29,38,0.41706646429877264,0.13421052631578947,3.107554047716345
Yang-ratio,Faint-only,10,17,23,0.3844764377368852,0.09999999999999999,3.8447643773688527
Yang-ratio,Matched,5,40,40,0.3897004063811377,0.1315,2.9635011892101724
Yang-ratio,Matched,10,23,24,0.35587824928413586,0.09833333333333334,3.6191008401776523
