continuum_window,n_endpoints,pearson_r,spearman_rho,median_ratio_hbeta_over_continuum,support_hbeta_snr5,support_continuum_snr5,support_disagree_snr5,support_hbeta_snr10,support_continuum_snr10,support_disagree_snr10
blue_4435_4700,114,0.9677285397704474,0.9367530021668253,1.0654167379292772,113,109,6,87,79,10
red_5100_5535,113,0.9387529060684189,0.9207033069399162,0.9522948288809325,112,111,3,87,97,16
