arm,N_tr,mean,mean_ci_low,mean_ci_high,mean_ci_width,median,median_ci_low,median_ci_high,median_ci_width
Faint-only,27,0.2896296296296296,0.16962962962962963,0.4140925925925924,0.24446296296296277,0.12000000000000001,0.0,0.48,0.48
Matched,25,0.2592,0.14880000000000002,0.38159999999999994,0.23279999999999992,0.18,0.02,0.36,0.33999999999999997
