transition_id,physical_role,source_family,instrument_family,path,canonical_redshift,rest_min,rest_max,covers_rest_4700_5100,valid_pixel_fraction,masked_fraction_hbeta,native_warning_value,warning_disposition,local_hbeta_qc,native_hbeta_window_snr,continuum_snr,variance_provenance,endpoint_identity_pass,native_qc_pass,degradation_source_epoch_available,qc_failures
J102822.85+235125.8,faint,Dong2025_SDSS_LAMOST,LAMOST_DR11,03_spectra/raw_q1_d093/lamost_dr11/J102822.85+235125.8__faint__lamost-dr11-336105178.fits,0.17357289791107178,3152.753727280918,7753.361364957571,True,1.0,0.0,0,INSTRUMENT_RECORDED_NO_NEW_THRESHOLD,PASS,4.472544486742137,6.469625788525412,NATIVE_LAMOST_SUPPORTED,True,True,True,
J103844.05+390804.0,bright,Dong2025_SDSS_LAMOST,SDSS_LEGACY,03_spectra/raw_q1_d093/sdss_legacy/J103844.05+390804.0__bright__spec-1432-53003-0128.fits,0.11653963476419449,3405.853124340195,8245.666011294354,True,0.9997396511325176,0.0,0,PASS,PASS,20.811471283795743,18.524325876969005,NATIVE_SDSS_SUPPORTED,True,True,True,
J103844.05+390804.0,faint,Dong2025_SDSS_LAMOST,LAMOST_DR11,03_spectra/raw_q1_d093/lamost_dr11/J103844.05+390804.0__faint__lamost-dr11-811406074.fits,0.11653963476419449,3313.797569672851,8149.405970300978,True,0.9961627014581734,0.0,0,INSTRUMENT_RECORDED_NO_NEW_THRESHOLD,PASS,3.7546431529419326,3.216061487194051,NATIVE_LAMOST_SUPPORTED,True,True,True,
J104043.38+273518.9,bright,Dong2025_SDSS_LAMOST,SDSS_LEGACY,03_spectra/raw_q1_d093/sdss_legacy/J104043.38+273518.9__bright__spec-2358-53797-0310.fits,0.1671488732099533,3281.509929928742,7873.607014651049,True,1.0,0.0,0,PASS,PASS,13.575984186008535,13.097201977291435,NATIVE_SDSS_SUPPORTED,True,True,True,
J104043.38+273518.9,faint,Dong2025_SDSS_LAMOST,LAMOST_DR11,03_spectra/raw_q1_d093/lamost_dr11/J104043.38+273518.9__faint__lamost-dr11-212710116.fits,0.1671488732099533,3170.1065845602934,7796.036113713659,True,1.0,0.0,0,INSTRUMENT_RECORDED_NO_NEW_THRESHOLD,PASS,8.749235395882003,10.626862325725286,NATIVE_LAMOST_SUPPORTED,True,True,True,
J104111.56+555142.4,bright,Dong2025_SDSS_LAMOST,SDSS_LEGACY,03_spectra/raw_q1_d093/sdss_legacy/J104111.56+555142.4__bright__spec-0906-52368-0380.fits,0.3224997818470001,2881.4061618952974,6967.939020927023,True,1.0,0.0,0,PASS,PASS,15.765222174772743,15.70223220924025,NATIVE_SDSS_SUPPORTED,True,True,True,
J104111.56+555142.4,faint,Dong2025_SDSS_LAMOST,LAMOST_DR11,03_spectra/raw_q1_d093/lamost_dr11/J104111.56+555142.4__faint__lamost-dr11-565905226.fits,0.3224997818470001,2797.7216925946163,6880.254265839779,True,0.9979534407776925,0.0,0,INSTRUMENT_RECORDED_NO_NEW_THRESHOLD,PASS,6.693025938085913,7.625074285885321,NATIVE_LAMOST_SUPPORTED,True,True,True,
J104427.75+271806.3,bright,Dong2025_SDSS_LAMOST,SDSS_LEGACY,03_spectra/raw_q1_d093/sdss_legacy/J104427.75+271806.3__bright__spec-2356-53786-0025.fits,0.07582420855760574,3553.5200552686047,8563.646670376846,True,1.0,0.0,0,PASS,PASS,35.12805989488302,33.51278008582072,NATIVE_SDSS_SUPPORTED,True,True,True,
J104427.75+271806.3,faint,Dong2025_SDSS_LAMOST,LAMOST_DR11,03_spectra/raw_q1_d093/lamost_dr11/J104427.75+271806.3__faint__lamost-dr11-630703244.fits,0.07582420855760574,3439.210884727811,8457.82674645751,True,1.0,0.0,128,INSTRUMENT_RECORDED_NO_NEW_THRESHOLD,PASS,30.058555515064704,28.518753168352184,NATIVE_LAMOST_SUPPORTED,True,True,True,
J105233.83+454949.3,bright,Dong2025_SDSS_LAMOST,SDSS_LEGACY,03_spectra/raw_q1_d093/sdss_legacy/J105233.83+454949.3__bright__spec-1434-53053-0573.fits,0.1267061084508896,3372.013807503631,8152.471845655535,True,1.0,0.0,0,PASS,PASS,17.210687484885945,15.575423547089745,NATIVE_SDSS_SUPPORTED,True,True,True,
J105233.83+454949.3,faint,Dong2025_SDSS_LAMOST,LAMOST_DR11,03_spectra/raw_q1_d093/lamost_dr11/J105233.83+454949.3__faint__lamost-dr11-649509145.fits,0.1267061084508896,3283.8965728268913,8075.872401309174,True,0.9913021233051932,0.0,0,INSTRUMENT_RECORDED_NO_NEW_THRESHOLD,PASS,13.081401430532054,10.769582630654092,NATIVE_LAMOST_SUPPORTED,True,True,True,
J110413.32+281530.3,bright,Dong2025_SDSS_LAMOST,SDSS_LEGACY,03_spectra/raw_q1_d093/sdss_legacy/J110413.32+281530.3__bright__spec-2211-53786-0187.fits,0.18660186231136322,3205.493726719872,7746.309793588312,True,0.9997391077484998,0.0,0,PASS,PASS,15.746001965681431,16.564097267158786,NATIVE_SDSS_SUPPORTED,True,True,True,
J110413.32+281530.3,faint,Dong2025_SDSS_LAMOST,LAMOST_DR11,03_spectra/raw_q1_d093/lamost_dr11/J110413.32+281530.3__faint__lamost-dr11-392405116.fits,0.18660186231136322,3118.136289553646,7668.228960892525,True,0.9984650805832693,0.0,0,INSTRUMENT_RECORDED_NO_NEW_THRESHOLD,PASS,4.716234129324431,5.940278968338696,NATIVE_LAMOST_SUPPORTED,True,True,True,
J112229.65+214815.6,bright,Dong2025_SDSS_LAMOST,SDSS_LEGACY,03_spectra/raw_q1_d093/sdss_legacy/J112229.65+214815.6__bright__spec-2496-54178-0513.fits,0.06023634597659111,3585.0675090901204,8683.547731197477,True,0.9968774395003903,0.0,0,PASS,PASS,30.157567945288022,29.755782667505837,NATIVE_SDSS_SUPPORTED,True,True,True,
J112229.65+214815.6,faint,Dong2025_SDSS_LAMOST,LAMOST_DR11,03_spectra/raw_q1_d093/lamost_dr11/J112229.65+214815.6__faint__lamost-dr11-435205184.fits,0.06023634597659111,3489.7750319216952,8582.175851784938,True,1.0,0.0,0,INSTRUMENT_RECORDED_NO_NEW_THRESHOLD,PASS,26.592793855014364,25.0959582693889,NATIVE_LAMOST_SUPPORTED,True,True,True,
J113402.78+290403.9,bright,Dong2025_SDSS_LAMOST,SDSS_LEGACY,03_spectra/raw_q1_d093/sdss_legacy/J113402.78+290403.9__bright__spec-2220-53795-0271.fits,0.3623022437095642,2803.6677448091527,6745.69215288406,True,1.0,0.0,0,PASS,PASS,15.569025434155156,12.892247567708052,NATIVE_SDSS_SUPPORTED,True,True,True,
J113402.78+290403.9,faint,Dong2025_SDSS_LAMOST,LAMOST_DR11,03_spectra/raw_q1_d093/lamost_dr11/J113402.78+290403.9__faint__lamost-dr11-507214106.fits,0.3623022437095642,2715.9804993419784,6679.233487018237,True,1.0,0.0,0,INSTRUMENT_RECORDED_NO_NEW_THRESHOLD,PASS,9.822783230263997,8.890167985486414,NATIVE_LAMOST_SUPPORTED,True,True,True,
J114154.47+063509.6,bright,Dong2025_SDSS_LAMOST,SDSS_LEGACY,03_spectra/raw_q1_d093/sdss_legacy/J114154.47+063509.6__bright__spec-1620-53137-0122.fits,0.10177913308143616,3445.9226102046123,8346.51882784731,True,1.0,0.0,0,PASS,PASS,26.58248103006477,25.795261344089766,NATIVE_SDSS_SUPPORTED,True,True,True,
J114154.47+063509.6,faint,Dong2025_SDSS_LAMOST,LAMOST_DR11,03_spectra/raw_q1_d093/lamost_dr11/J114154.47+063509.6__faint__lamost-dr11-965407068.fits,0.10177913308143616,3358.192415368173,8258.583315311756,True,0.995906881555385,0.014084507042253521,0,INSTRUMENT_RECORDED_NO_NEW_THRESHOLD,PASS,12.45239955216459,6.841261845933375,NATIVE_LAMOST_SUPPORTED,True,True,True,
J114634.92+282642.0,bright,Dong2025_SDSS_LAMOST,SDSS_LEGACY,03_spectra/raw_q1_d093/sdss_legacy/J114634.92+282642.0__bright__spec-2222-53799-0122.fits,0.22520990669727325,3106.628969396829,7509.127073071731,True,0.9997391757955139,0.0,0,PASS,PASS,16.599673258522483,16.611907040008912,NATIVE_SDSS_SUPPORTED,True,True,True,
J114634.92+282642.0,faint,Dong2025_SDSS_LAMOST,LAMOST_DR11,03_spectra/raw_q1_d093/lamost_dr11/J114634.92+282642.0__faint__lamost-dr11-507209219.fits,0.22520990669727325,3019.8795389263846,7426.592550294509,True,1.0,0.0,0,INSTRUMENT_RECORDED_NO_NEW_THRESHOLD,PASS,9.914645464732253,10.728892813810198,NATIVE_LAMOST_SUPPORTED,True,True,True,
J120635.22+175312.3,bright,Dong2025_SDSS_LAMOST,SDSS_LEGACY,03_spectra/raw_q1_d093/sdss_legacy/J120635.22+175312.3__bright__spec-2595-54207-0589.fits,0.14587219059467316,3327.850751234805,8032.741792767162,True,1.0,0.0,0,PASS,PASS,20.206666078557642,16.366129888913743,NATIVE_SDSS_SUPPORTED,True,True,True,
J120635.22+175312.3,faint,Dong2025_SDSS_LAMOST,LAMOST_DR11,03_spectra/raw_q1_d093/lamost_dr11/J120635.22+175312.3__faint__lamost-dr11-404114104.fits,0.14587219059467316,3228.9694771323657,7940.793781637046,True,1.0,0.0,0,INSTRUMENT_RECORDED_NO_NEW_THRESHOLD,PASS,11.782603204950856,6.188481940306659,NATIVE_LAMOST_SUPPORTED,True,True,True,
J122355.23+343856.6,bright,Dong2025_SDSS_LAMOST,SDSS_LEGACY,03_spectra/raw_q1_d093/sdss_legacy/J122355.23+343856.6__bright__spec-1999-53503-0624.fits,0.13623736798763275,3366.9056473527903,8100.856118525117,True,1.0,0.0,0,PASS,PASS,19.921866687610812,15.611002122822125,NATIVE_SDSS_SUPPORTED,True,True,True,
J122355.23+343856.6,faint,Dong2025_SDSS_LAMOST,LAMOST_DR11,03_spectra/raw_q1_d093/lamost_dr11/J122355.23+343856.6__faint__lamost-dr11-307702072.fits,0.13623736798763275,3256.34980187104,8008.128426316673,True,1.0,0.0,64,INSTRUMENT_RECORDED_NO_NEW_THRESHOLD,PASS,10.463746036652,8.1812618805568,NATIVE_LAMOST_SUPPORTED,True,True,True,
J122623.69+261050.0,bright,Dong2025_SDSS_LAMOST,SDSS_LEGACY,03_spectra/raw_q1_d093/sdss_legacy/J122623.69+261050.0__bright__spec-2658-54502-0576.fits,0.12877538800239563,3379.032634444519,8160.041844236853,True,1.0,0.0,0,PASS,PASS,22.638264038453098,20.5110829315949,NATIVE_SDSS_SUPPORTED,True,True,True,
J122623.69+261050.0,faint,Dong2025_SDSS_LAMOST,LAMOST_DR11,03_spectra/raw_q1_d093/lamost_dr11/J122623.69+261050.0__faint__lamost-dr11-299805137.fits,0.12877538800239563,3277.876508871176,8061.067651136355,True,1.0,0.0,0,INSTRUMENT_RECORDED_NO_NEW_THRESHOLD,PASS,3.8843698199182075,3.1912881777428908,NATIVE_LAMOST_SUPPORTED,True,True,True,
J122945.61+440934.5,bright,Dong2025_SDSS_LAMOST,SDSS_LEGACY,03_spectra/raw_q1_d093/sdss_legacy/J122945.61+440934.5__bright__spec-1372-53062-0304.fits,0.18801236152648926,3216.466931349406,7731.771255032669,True,0.9918635170603675,0.0,0,PASS,PASS,12.098331618287482,13.44472898564133,NATIVE_SDSS_SUPPORTED,True,True,True,
J122945.61+440934.5,faint,Dong2025_SDSS_LAMOST,LAMOST_DR11,03_spectra/raw_q1_d093/lamost_dr11/J122945.61+440934.5__faint__lamost-dr11-713209059.fits,0.18801236152648926,3114.434199464768,7659.124652485458,True,0.9915579432079816,0.0,0,INSTRUMENT_RECORDED_NO_NEW_THRESHOLD,PASS,8.080266053911227,10.823029860235184,NATIVE_LAMOST_SUPPORTED,True,True,True,
J124554.71+460418.7,bright,Dong2025_SDSS_LAMOST,SDSS_LEGACY,03_spectra/raw_q1_d093/sdss_legacy/J124554.71+460418.7__bright__spec-1455-53089-0091.fits,0.10796719789505005,3426.676920896161,8301.816947138776,True,1.0,0.0,0,PASS,PASS,30.120459029627956,28.649944481884134,NATIVE_SDSS_SUPPORTED,True,True,True,
J124554.71+460418.7,faint,Dong2025_SDSS_LAMOST,LAMOST_DR11,03_spectra/raw_q1_d093/lamost_dr11/J124554.71+460418.7__faint__lamost-dr11-989609022.fits,0.10796719789505005,3339.436704583265,8203.009129087417,True,0.9984631147540983,0.0,0,INSTRUMENT_RECORDED_NO_NEW_THRESHOLD,PASS,4.398916039655074,3.8577343093902847,NATIVE_LAMOST_SUPPORTED,True,True,True,
J130501.21+010323.8,bright,Dong2025_SDSS_LAMOST,SDSS_LEGACY,03_spectra/raw_q1_d093/sdss_legacy/J130501.21+010323.8__bright__spec-0294-51986-0417.fits,0.13422641158103943,3354.287908483691,8124.566436655207,True,1.0,0.0,0,PASS,PASS,11.831918138567078,9.235277875876404,NATIVE_SDSS_SUPPORTED,True,True,True,
J130501.21+010323.8,faint,Dong2025_SDSS_LAMOST,LAMOST_DR11,03_spectra/raw_q1_d093/lamost_dr11/J130501.21+010323.8__faint__lamost-dr11-881515101.fits,0.13422641158103943,3262.123232492404,8022.326647235613,True,0.9987209004860578,0.0,64,INSTRUMENT_RECORDED_NO_NEW_THRESHOLD,PASS,3.38493912348312,2.333787784115272,NATIVE_LAMOST_SUPPORTED,True,True,True,
J131001.32+143705.2,bright,Dong2025_SDSS_LAMOST,SDSS_LEGACY,03_spectra/raw_q1_d093/sdss_legacy/J131001.32+143705.2__bright__spec-1772-53089-0519.fits,0.21342380344867706,3130.311708227254,7582.063953606394,True,1.0,0.0,0,PASS,PASS,9.940718258091408,10.171534320214036,NATIVE_SDSS_SUPPORTED,True,True,True,
J131001.32+143705.2,faint,Dong2025_SDSS_LAMOST,LAMOST_DR11,03_spectra/raw_q1_d093/lamost_dr11/J131001.32+143705.2__faint__lamost-dr11-439315169.fits,0.21342380344867706,3049.2119221736484,7498.727764993821,True,1.0,0.0,0,INSTRUMENT_RECORDED_NO_NEW_THRESHOLD,FAIL,1.959442528013612,3.2240115600405654,NATIVE_LAMOST_SUPPORTED,True,False,False,LOW_CONTINUUM_SNR
J131432.70+122718.5,bright,Dong2025_SDSS_LAMOST,SDSS_LEGACY,03_spectra/raw_q1_d093/sdss_legacy/J131432.70+122718.5__bright__spec-1697-53142-0461.fits,0.08642792701721191,3488.1809747995912,8462.508192162155,True,0.9997402597402597,0.0,0,PASS,PASS,27.558233467657313,25.788321939102907,NATIVE_SDSS_SUPPORTED,True,True,True,
J131432.70+122718.5,faint,Dong2025_SDSS_LAMOST,LAMOST_DR11,03_spectra/raw_q1_d093/lamost_dr11/J131432.70+122718.5__faint__lamost-dr11-1098708162.fits,0.08642792701721191,3405.64361069336,8375.276941385957,True,0.9953952417498081,0.0,64,INSTRUMENT_RECORDED_NO_NEW_THRESHOLD,PASS,12.860907915998714,10.990521868424993,NATIVE_LAMOST_SUPPORTED,True,True,True,
J132421.98+280238.3,bright,Dong2025_SDSS_LAMOST,SDSS_LEGACY,03_spectra/raw_q1_d093/sdss_legacy/J132421.98+280238.3__bright__spec-2002-53471-0003.fits,0.12441729009151459,3392.911551213658,8195.443023069474,True,1.0,0.0,0,PASS,PASS,19.400613901505075,17.02617910464287,NATIVE_SDSS_SUPPORTED,True,True,True,
J132421.98+280238.3,faint,Dong2025_SDSS_LAMOST,LAMOST_DR11,03_spectra/raw_q1_d093/lamost_dr11/J132421.98+280238.3__faint__lamost-dr11-219316181.fits,0.12441729009151459,3290.5811398754495,8092.311320545805,True,1.0,0.0,0,INSTRUMENT_RECORDED_NO_NEW_THRESHOLD,PASS,7.7716456921398285,6.031336473190876,NATIVE_LAMOST_SUPPORTED,True,True,True,
J133551.98+544450.1,bright,Dong2025_SDSS_LAMOST,SDSS_LEGACY,03_spectra/raw_q1_d093/sdss_legacy/J133551.98+544450.1__bright__spec-1042-52725-0410.fits,0.10756386816501617,3435.036161076979,8320.15028656228,True,1.0,0.0,0,PASS,PASS,22.56842644738382,20.798428952104327,NATIVE_SDSS_SUPPORTED,True,True,True,
J133551.98+544450.1,faint,Dong2025_SDSS_LAMOST,LAMOST_DR11,03_spectra/raw_q1_d093/lamost_dr11/J133551.98+544450.1__faint__lamost-dr11-992312235.fits,0.10756386816501617,3340.6527916580053,8215.449264068371,True,0.9969301611665388,0.0,0,INSTRUMENT_RECORDED_NO_NEW_THRESHOLD,PASS,11.122286492093707,9.649348904603894,NATIVE_LAMOST_SUPPORTED,True,True,True,
J134133.73+090356.7,bright,Dong2025_SDSS_LAMOST,SDSS_LEGACY,03_spectra/raw_q1_d093/sdss_legacy/J134133.73+090356.7__bright__spec-1804-53886-0255.fits,0.10496455430984497,3451.0533531741357,8312.881885348048,True,1.0,0.0,0,PASS,PASS,29.785118998980867,28.098004318681856,NATIVE_SDSS_SUPPORTED,True,True,True,
