scope,arm,snr_rung,n_total,n_supported,support_fraction,d093_disposition
SOURCE_FAMILY:Dong2025_SDSS_LAMOST,matched,5,34,25,0.7352941176470589,FINAL_RETAINED_PRIOR_COMPARABLE
SOURCE_FAMILY:Dong2025_SDSS_LAMOST,matched,10,34,10,0.29411764705882354,FINAL_RETAINED_PRIOR_COMPARABLE
SOURCE_FAMILY:Dong2025_SDSS_LAMOST,matched,15,34,3,0.08823529411764706,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:Dong2025_SDSS_LAMOST,matched,20,34,2,0.058823529411764705,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:Dong2025_SDSS_LAMOST,matched,30,34,1,0.029411764705882353,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:Dong2025_SDSS_LAMOST,matched,40,34,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:Green2022,faint_only,5,2,2,1.0,FINAL_RETAINED_PRIOR_COMPARABLE
SOURCE_FAMILY:Green2022,faint_only,10,2,2,1.0,FINAL_RETAINED_PRIOR_COMPARABLE
SOURCE_FAMILY:Green2022,faint_only,15,2,1,0.5,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:Green2022,faint_only,20,2,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:Green2022,faint_only,30,2,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:Green2022,faint_only,40,2,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:Green2022,matched,5,2,2,1.0,FINAL_RETAINED_PRIOR_COMPARABLE
SOURCE_FAMILY:Green2022,matched,10,2,2,1.0,FINAL_RETAINED_PRIOR_COMPARABLE
SOURCE_FAMILY:Green2022,matched,15,2,1,0.5,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:Green2022,matched,20,2,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:Green2022,matched,30,2,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:Green2022,matched,40,2,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:LaMassa2015,faint_only,5,1,1,1.0,FINAL_RETAINED_PRIOR_COMPARABLE
SOURCE_FAMILY:LaMassa2015,faint_only,10,1,1,1.0,FINAL_RETAINED_PRIOR_COMPARABLE
SOURCE_FAMILY:LaMassa2015,faint_only,15,1,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:LaMassa2015,faint_only,20,1,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:LaMassa2015,faint_only,30,1,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:LaMassa2015,faint_only,40,1,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
SOURCE_FAMILY:LaMassa2015,matched,5,1,1,1.0,FINAL_RETAINED_PRIOR_COMPARABLE
