transition_id,reference_tier,source_family,event,reference_origin,bright_instrument,faint_instrument,instrument_pair,bright_snr_hbeta,faint_snr_hbeta,bright_snr_continuum,faint_snr_continuum,yang_applicable,green_applicable,faint_only_support_5,matched_support_5,faint_only_support_10,matched_support_10,faint_only_support_15,matched_support_15,faint_only_support_20,matched_support_20,faint_only_support_30,matched_support_30,faint_only_support_40,matched_support_40
J104427.75+271806.3,GOLD,Dong2025_SDSS_LAMOST,turn_off,D093_NEW_VALIDATED,SDSS_LEGACY,LAMOST_DR11,SDSS_LEGACY/LAMOST_DR11,35.12805989488302,30.058555515064704,33.51278008582072,28.518753168352184,True,True,True,True,True,True,True,True,True,True,True,True,False,False
J105233.83+454949.3,GOLD,Dong2025_SDSS_LAMOST,turn_off,D093_NEW_VALIDATED,SDSS_LEGACY,LAMOST_DR11,SDSS_LEGACY/LAMOST_DR11,17.210687484885945,13.081401430532054,15.575423547089745,10.769582630654092,True,True,True,True,True,True,False,False,False,False,False,False,False,False
J110413.32+281530.3,GOLD,Dong2025_SDSS_LAMOST,turn_off,D093_NEW_VALIDATED,SDSS_LEGACY,LAMOST_DR11,SDSS_LEGACY/LAMOST_DR11,15.746001965681431,4.716234129324431,16.564097267158786,5.940278968338696,False,True,False,False,False,False,False,False,False,False,False,False,False,False
J1110+0804,GOLD,Yang2025_turn_on,turn_on,D093_NEW_VALIDATED,LAMOST_DR11,SDSS_LEGACY,LAMOST_DR11/SDSS_LEGACY,11.351018677007744,13.744911450330717,9.340875806942574,12.25836785560768,True,True,True,True,True,True,False,False,False,False,False,False,False,False
J112229.65+214815.6,GOLD,Dong2025_SDSS_LAMOST,turn_off,D093_NEW_VALIDATED,SDSS_LEGACY,LAMOST_DR11,SDSS_LEGACY/LAMOST_DR11,30.157567945288022,26.592793855014364,29.755782667505837,25.0959582693889,True,True,True,True,True,True,True,True,True,True,False,False,False,False
J113402.78+290403.9,GOLD,Dong2025_SDSS_LAMOST,turn_off,D093_NEW_VALIDATED,SDSS_LEGACY,LAMOST_DR11,SDSS_LEGACY/LAMOST_DR11,15.569025434155156,9.822783230263996,12.892247567708052,8.890167985486414,True,True,True,True,False,False,False,False,False,False,False,False,False,False
J114154.47+063509.6,GOLD,Dong2025_SDSS_LAMOST,turn_off,D093_NEW_VALIDATED,SDSS_LEGACY,LAMOST_DR11,SDSS_LEGACY/LAMOST_DR11,26.58248103006477,12.45239955216459,25.795261344089766,6.841261845933375,False,False,True,True,True,True,False,False,False,False,False,False,False,False
J114634.92+282642.0,GOLD,Dong2025_SDSS_LAMOST,turn_off,D093_NEW_VALIDATED,SDSS_LEGACY,LAMOST_DR11,SDSS_LEGACY/LAMOST_DR11,16.599673258522483,9.914645464732253,16.611907040008912,10.728892813810198,True,True,True,True,False,False,False,False,False,False,False,False,False,False
J120635.22+175312.3,GOLD,Dong2025_SDSS_LAMOST,turn_off,D093_NEW_VALIDATED,SDSS_LEGACY,LAMOST_DR11,SDSS_LEGACY/LAMOST_DR11,20.20666607855764,11.782603204950856,16.366129888913743,6.188481940306659,True,True,True,True,True,True,False,False,False,False,False,False,False,False
J121618.00+515946.1,GOLD,Zeltyn2024_SDSSV,turn_off,D093_NEW_VALIDATED,SDSS_LEGACY,SDSSV_DR19,SDSS_LEGACY/SDSSV_DR19,8.931383427657195,10.034284405969036,6.895354242824907,8.739461320906075,True,True,True,True,True,False,False,False,False,False,False,False,False,False
J122355.23+343856.6,GOLD,Dong2025_SDSS_LAMOST,turn_off,D093_NEW_VALIDATED,SDSS_LEGACY,LAMOST_DR11,SDSS_LEGACY/LAMOST_DR11,19.921866687610812,10.463746036652,15.611002122822123,8.1812618805568,True,True,True,True,True,True,False,False,False,False,False,False,False,False
J122623.69+261050.0,GOLD,Dong2025_SDSS_LAMOST,turn_off,D093_NEW_VALIDATED,SDSS_LEGACY,LAMOST_DR11,SDSS_LEGACY/LAMOST_DR11,22.638264038453094,3.884369819918207,20.5110829315949,3.1912881777428908,True,True,False,False,False,False,False,False,False,False,False,False,False,False
J122945.61+440934.5,GOLD,Dong2025_SDSS_LAMOST,turn_off,D093_NEW_VALIDATED,SDSS_LEGACY,LAMOST_DR11,SDSS_LEGACY/LAMOST_DR11,12.098331618287482,8.080266053911227,13.44472898564133,10.823029860235184,False,True,True,True,False,False,False,False,False,False,False,False,False,False
J124554.71+460418.7,GOLD,Dong2025_SDSS_LAMOST,turn_off,D093_NEW_VALIDATED,SDSS_LEGACY,LAMOST_DR11,SDSS_LEGACY/LAMOST_DR11,30.120459029627956,4.398916039655074,28.649944481884138,3.8577343093902847,True,True,False,False,False,False,False,False,False,False,False,False,False,False
J130501.21+010323.8,GOLD,Dong2025_SDSS_LAMOST,turn_off,D093_NEW_VALIDATED,SDSS_LEGACY,LAMOST_DR11,SDSS_LEGACY/LAMOST_DR11,11.831918138567078,3.38493912348312,9.235277875876404,2.333787784115272,True,True,False,False,False,False,False,False,False,False,False,False,False,False
J131432.70+122718.5,GOLD,Dong2025_SDSS_LAMOST,turn_off,D093_NEW_VALIDATED,SDSS_LEGACY,LAMOST_DR11,SDSS_LEGACY/LAMOST_DR11,27.558233467657313,12.860907915998714,25.788321939102907,10.990521868424992,True,True,True,True,True,True,False,False,False,False,False,False,False,False
J132421.98+280238.3,GOLD,Dong2025_SDSS_LAMOST,turn_off,D093_NEW_VALIDATED,SDSS_LEGACY,LAMOST_DR11,SDSS_LEGACY/LAMOST_DR11,19.400613901505075,7.7716456921398285,17.02617910464287,6.031336473190876,True,True,True,True,False,False,False,False,False,False,False,False,False,False
J133551.98+544450.1,GOLD,Dong2025_SDSS_LAMOST,turn_off,D093_NEW_VALIDATED,SDSS_LEGACY,LAMOST_DR11,SDSS_LEGACY/LAMOST_DR11,22.56842644738382,11.122286492093709,20.798428952104327,9.649348904603894,True,True,True,True,True,True,False,False,False,False,False,False,False,False
J134133.73+090356.7,GOLD,Dong2025_SDSS_LAMOST,turn_off,D093_NEW_VALIDATED,SDSS_LEGACY,LAMOST_DR11,SDSS_LEGACY/LAMOST_DR11,29.785118998980867,13.52727252661258,28.098004318681856,12.447280854348904,False,False,True,True,True,True,False,False,False,False,False,False,False,False
J134739.65+362240.0,GOLD,Dong2025_SDSS_LAMOST,turn_off,D093_NEW_VALIDATED,SDSS_LEGACY,LAMOST_DR11,SDSS_LEGACY/LAMOST_DR11,11.28484079547771,4.345836717836633,12.798419742019473,4.667104445149489,False,True,False,False,False,False,False,False,False,False,False,False,False,False
J135255.68+252859.6,GOLD,Dong2025_SDSS_LAMOST,turn_off,D093_NEW_VALIDATED,SDSS_LEGACY,LAMOST_DR11,SDSS_LEGACY/LAMOST_DR11,31.05517496129127,19.915590850575864,29.792474622057014,19.91499874139012,True,True,True,True,True,True,True,True,False,False,False,False,False,False
J135750.26+614309.0,GOLD,Zeltyn2024_SDSSV,turn_off,D093_NEW_VALIDATED,SDSS_LEGACY,SDSSV_DR19,SDSS_LEGACY/SDSSV_DR19,9.604598204685876,5.826529225644828,6.2384586963547095,4.248956443626028,True,False,True,True,False,False,False,False,False,False,False,False,False,False
J140207.59+284859.3,GOLD,Dong2025_SDSS_LAMOST,turn_off,D093_NEW_VALIDATED,SDSS_LEGACY,LAMOST_DR11,SDSS_LEGACY/LAMOST_DR11,15.985729322982849,9.22944458989262,16.14042809031914,11.257770841182513,True,True,True,True,False,False,False,False,False,False,False,False,False,False
J140515.59+542458.0,GOLD,Zeltyn2024_SDSSV,turn_on,D093_NEW_VALIDATED,SDSSV_DR19,SDSS_LEGACY,SDSSV_DR19/SDSS_LEGACY,28.59276416790963,21.766335130295197,26.968188683372382,21.35685587896373,True,True,True,True,True,True,True,True,True,True,False,False,False,False
J150026.17+374732.4,GOLD,Dong2025_SDSS_LAMOST,turn_off,D093_NEW_VALIDATED,SDSS_LEGACY,LAMOST_DR11,SDSS_LEGACY/LAMOST_DR11,9.926937008468776,7.6078731485970925,11.081751853553616,11.247507261248362,True,True,True,True,False,False,False,False,False,False,False,False,False,False
J151219.33+293737.0,GOLD,Dong2025_SDSS_LAMOST,turn_off,D093_NEW_VALIDATED,SDSS_LEGACY,LAMOST_DR11,SDSS_LEGACY/LAMOST_DR11,14.91480422660612,4.695437465277151,14.654835316535744,7.841444883666352,True,True,False,False,False,False,False,False,False,False,False,False,False,False
J151804.33+364747.9,GOLD,Dong2025_SDSS_LAMOST,turn_off,D093_NEW_VALIDATED,SDSS_LEGACY,LAMOST_DR11,SDSS_LEGACY/LAMOST_DR11,12.196029405456816,3.859067778261468,15.42434697974082,7.809345664942861,True,True,False,False,False,False,False,False,False,False,False,False,False,False
