snr,transition_id,object_id,source_family,p_i_faint_only,p_i_matched,delta_p_faint_only_minus_matched,u_i_faint_only,u_i_matched,delta_u_faint_only_minus_matched
5,J113402.78+290403.9,J113402.78+290403.9,Dong2025_SDSS_LAMOST,1.0,0.24,"arm
    0.76
Name: (J113402.78+290403.9, J113402.78+290403.9, Dong2025_SDSS_LAMOST), dtype: float64",0.0,0.0,"arm
    0.0
Name: (J113402.78+290403.9, J113402.78+290403.9, Dong2025_SDSS_LAMOST), dtype: float64"
5,J114634.92+282642.0,J114634.92+282642.0,Dong2025_SDSS_LAMOST,0.48,0.26,"arm
    0.22
Name: (J114634.92+282642.0, J114634.92+282642.0, Dong2025_SDSS_LAMOST), dtype: float64",0.0,0.0,"arm
    0.0
Name: (J114634.92+282642.0, J114634.92+282642.0, Dong2025_SDSS_LAMOST), dtype: float64"
5,J120635.22+175312.3,J120635.22+175312.3,Dong2025_SDSS_LAMOST,0.0,0.0,"arm
    0.0
Name: (J120635.22+175312.3, J120635.22+175312.3, Dong2025_SDSS_LAMOST), dtype: float64",0.0,0.0,"arm
    0.0
Name: (J120635.22+175312.3, J120635.22+175312.3, Dong2025_SDSS_LAMOST), dtype: float64"
5,J121618.00+515946.1,J121618.00+515946.1,Zeltyn2024_SDSSV,0.0,0.0,"arm
    0.0
Name: (J121618.00+515946.1, J121618.00+515946.1, Zeltyn2024_SDSSV), dtype: float64",0.0,0.0,"arm
    0.0
Name: (J121618.00+515946.1, J121618.00+515946.1, Zeltyn2024_SDSSV), dtype: float64"
5,J122355.23+343856.6,J122355.23+343856.6,Dong2025_SDSS_LAMOST,0.0,0.0,"arm
    0.0
Name: (J122355.23+343856.6, J122355.23+343856.6, Dong2025_SDSS_LAMOST), dtype: float64",0.0,0.0,"arm
    0.0
Name: (J122355.23+343856.6, J122355.23+343856.6, Dong2025_SDSS_LAMOST), dtype: float64"
5,J122945.61+440934.5,J122945.61+440934.5,Dong2025_SDSS_LAMOST,0.12,0.3,"arm
   -0.18
Name: (J122945.61+440934.5, J122945.61+440934.5, Dong2025_SDSS_LAMOST), dtype: float64",0.0,0.0,"arm
    0.0
Name: (J122945.61+440934.5, J122945.61+440934.5, Dong2025_SDSS_LAMOST), dtype: float64"
5,J131432.70+122718.5,J131432.70+122718.5,Dong2025_SDSS_LAMOST,0.0,0.0,"arm
    0.0
Name: (J131432.70+122718.5, J131432.70+122718.5, Dong2025_SDSS_LAMOST), dtype: float64",0.0,0.0,"arm
    0.0
Name: (J131432.70+122718.5, J131432.70+122718.5, Dong2025_SDSS_LAMOST), dtype: float64"
5,J132421.98+280238.3,J132421.98+280238.3,Dong2025_SDSS_LAMOST,0.0,0.0,"arm
    0.0
Name: (J132421.98+280238.3, J132421.98+280238.3, Dong2025_SDSS_LAMOST), dtype: float64",0.0,0.0,"arm
    0.0
Name: (J132421.98+280238.3, J132421.98+280238.3, Dong2025_SDSS_LAMOST), dtype: float64"
5,J133551.98+544450.1,J133551.98+544450.1,Dong2025_SDSS_LAMOST,0.1,0.0,"arm
    0.1
Name: (J133551.98+544450.1, J133551.98+544450.1, Dong2025_SDSS_LAMOST), dtype: float64",0.0,0.0,"arm
    0.0
Name: (J133551.98+544450.1, J133551.98+544450.1, Dong2025_SDSS_LAMOST), dtype: float64"
5,J135255.68+252859.6,J135255.68+252859.6,Dong2025_SDSS_LAMOST,0.18,0.04,"arm
    0.14
Name: (J135255.68+252859.6, J135255.68+252859.6, Dong2025_SDSS_LAMOST), dtype: float64",0.0,0.0,"arm
    0.0
Name: (J135255.68+252859.6, J135255.68+252859.6, Dong2025_SDSS_LAMOST), dtype: float64"
