snr,paired_transition_count,delta_p_mean_faint_only_minus_matched,delta_p_median_faint_only_minus_matched,delta_p_q25,delta_p_q75,delta_p_min,delta_p_max,N_positive,N_zero,N_negative,paired_mean_ci_low,paired_mean_ci_high
5,43,0.19674418604651164,0.02,0.0,0.33,-0.18,0.98,23,15,5,0.11348837209302326,0.2916279069767442
10,25,0.24480000000000005,0.12,0.0,0.44,-0.039999999999999994,0.86,17,5,3,0.1408,0.36160000000000003
