arm,transition_id,object_id,source_family,p_i_5,p_i_10,delta_p_10_minus_5,u_i_5,u_i_10,delta_u_10_minus_5
faint_only,J133551.98+544450.1,J133551.98+544450.1,Dong2025_SDSS_LAMOST,0.1,0.98,"snr
    0.88
Name: (J133551.98+544450.1, J133551.98+544450.1, Dong2025_SDSS_LAMOST), dtype: float64",0.0,0.0,"snr
    0.0
Name: (J133551.98+544450.1, J133551.98+544450.1, Dong2025_SDSS_LAMOST), dtype: float64"
faint_only,J135255.68+252859.6,J135255.68+252859.6,Dong2025_SDSS_LAMOST,0.18,0.96,"snr
    0.78
Name: (J135255.68+252859.6, J135255.68+252859.6, Dong2025_SDSS_LAMOST), dtype: float64",0.0,0.0,"snr
    0.0
Name: (J135255.68+252859.6, J135255.68+252859.6, Dong2025_SDSS_LAMOST), dtype: float64"
faint_only,J140515.59+542458.0,J140515.59+542458.0,Zeltyn2024_SDSSV,0.02,0.88,"snr
    0.86
Name: (J140515.59+542458.0, J140515.59+542458.0, Zeltyn2024_SDSSV), dtype: float64",0.0,0.0,"snr
    0.0
Name: (J140515.59+542458.0, J140515.59+542458.0, Zeltyn2024_SDSSV), dtype: float64"
faint_only,SDSSJ000236.25-002724.8,SDSSJ000236.25-002724.8,Potts2021,0.0,0.0,"snr
    0.0
Name: (SDSSJ000236.25-002724.8, SDSSJ000236.25-002724.8, Potts2021), dtype: float64",0.0,0.0,"snr
    0.0
Name: (SDSSJ000236.25-002724.8, SDSSJ000236.25-002724.8, Potts2021), dtype: float64"
faint_only,SDSSJ012648.08-083948.0,SDSSJ012648.08-083948.0,Ruan2016,0.52,0.82,"snr
    0.3
Name: (SDSSJ012648.08-083948.0, SDSSJ012648.08-083948.0, Ruan2016), dtype: float64",0.0,0.0,"snr
    0.0
Name: (SDSSJ012648.08-083948.0, SDSSJ012648.08-083948.0, Ruan2016), dtype: float64"
faint_only,SDSSJ015957.64+003310.4,SDSSJ015957.64+003310.4,LaMassa2015,1.0,1.0,"snr
    0.0
Name: (SDSSJ015957.64+003310.4, SDSSJ015957.64+003310.4, LaMassa2015), dtype: float64",0.0,0.0,"snr
    0.0
Name: (SDSSJ015957.64+003310.4, SDSSJ015957.64+003310.4, LaMassa2015), dtype: float64"
faint_only,SDSSJ021359.79+004226.81,SDSSJ021359.79+004226.81,Green2022,0.02,0.14,"snr
    0.12
Name: (SDSSJ021359.79+004226.81, SDSSJ021359.79+004226.81, Green2022), dtype: float64",0.0,0.0,"snr
    0.0
Name: (SDSSJ021359.79+004226.81, SDSSJ021359.79+004226.81, Green2022), dtype: float64"
faint_only,SDSSJ082942.66+415436.8,SDSSJ082942.66+415436.8,Potts2021,0.52,1.0,"snr
    0.48
Name: (SDSSJ082942.66+415436.8, SDSSJ082942.66+415436.8, Potts2021), dtype: float64",0.0,0.0,"snr
    0.0
Name: (SDSSJ082942.66+415436.8, SDSSJ082942.66+415436.8, Potts2021), dtype: float64"
faint_only,SDSSJ101152.98+544206.4,SDSSJ101152.98+544206.4,Runnoe2016,1.0,1.0,"snr
    0.0
Name: (SDSSJ101152.98+544206.4, SDSSJ101152.98+544206.4, Runnoe2016), dtype: float64",0.0,0.0,"snr
    0.0
Name: (SDSSJ101152.98+544206.4, SDSSJ101152.98+544206.4, Runnoe2016), dtype: float64"
faint_only,SDSSJ102152.34+464515.6,SDSSJ102152.34+464515.6,MacLeod2016,1.0,1.0,"snr
    0.0
Name: (SDSSJ102152.34+464515.6, SDSSJ102152.34+464515.6, MacLeod2016), dtype: float64",0.0,0.0,"snr
    0.0
Name: (SDSSJ102152.34+464515.6, SDSSJ102152.34+464515.6, MacLeod2016), dtype: float64"
