arm,paired_transition_count,delta_p_mean_10_minus_5,delta_p_median_10_minus_5,delta_p_q25,delta_p_q75,delta_p_min,delta_p_max,N_positive,N_zero,N_negative,paired_mean_ci_low,paired_mean_ci_high,full_supported_R_snr5,full_supported_R_snr10,full_supported_unpaired_difference_10_minus_5,common_support_R_snr5,common_support_R_snr10,common_support_paired_difference_10_minus_5
faint_only,27,0.2896296296296296,0.12000000000000001,0.0,0.63,-0.02,0.88,18,8,1,0.17183333333333334,0.4155740740740738,0.32863636363636367,0.5733333333333334,0.2446969696969697,0.28370370370370374,0.5733333333333334,0.2896296296296296
matched,25,0.2592,0.18,0.0,0.44,-0.06,0.96,18,6,1,0.14400000000000002,0.38319999999999993,0.13209302325581396,0.37440000000000007,0.2423069767441861,0.1152,0.37439999999999996,0.2592
