transition_id,original_snr
J075934.95+322143.3,16.046531349684599
J080133.29+341737.6,19.311417916374332
J080711.72+194439.7,13.124049544811278
J083716.47+035606.1,22.914614338003346
J085512.13+032950.6,21.540084363823841
J1003+0202,17.215312581916855
J1003+0458,16.138194804352604
J1009+3539,26.13477687991703
J104427.75+271806.3,30.058555515064704
J105233.83+454949.3,13.081401430532054
J1110+0804,13.744911450330717
J112229.65+214815.6,26.592793855014364
J120635.22+175312.3,11.782603204950856
J121618.00+515946.1,10.034284405969036
J122355.23+343856.6,10.463746036651999
J131432.70+122718.5,12.860907915998714
J133551.98+544450.1,11.122286492093707
J135255.68+252859.6,19.915590850575864
J140515.59+542458.0,21.766335130295197
SDSSJ000236.25-002724.8,12.394275837080778
SDSSJ012648.08-083948.0,18.339850909174203
SDSSJ015957.64+003310.4,12.272894097369321
SDSSJ021359.79+004226.81,19.940881984131881
SDSSJ082942.66+415436.8,26.257976076381272
SDSSJ101152.98+544206.4,14.108299609346904
SDSSJ102152.34+464515.6,13.875232092029604
SDSSJ105325.40+302419.34,10.35431021023744
