series,wavelength_rest,flux
observed_bright,4600.2292980299362,17.659000396728516
observed_bright,4601.2875747345606,17.087779998779297
observed_bright,4602.3460948943493,16.917829513549805
observed_bright,4603.4073857389039,17.393026351928711
observed_bright,4604.4663935584285,17.47327995300293
observed_bright,4605.5281733391721,18.114583969116211
observed_bright,4606.5876690430978,17.841352462768555
observed_bright,4607.649937985283,16.825483322143555
observed_bright,4608.7099217983759,16.488895416259766
observed_bright,4609.770149459353,17.491558074951172
observed_bright,4610.8331522744929,18.042928695678711
observed_bright,4611.8938683818506,18.609901428222656
observed_bright,4612.9573609218842,18.60887336730957
observed_bright,4614.0185657006505,18.347911834716797
observed_bright,4615.0825481911925,18.117290496826172
observed_bright,4616.1442418664965,17.560501098632812
observed_bright,4617.208714533268,17.090169906616211
observed_bright,4618.2708973303452,18.291784286499023
observed_bright,4619.3333244811784,17.24542236328125
observed_bright,4620.3985325433569,16.690446853637695
observed_bright,4621.461449153875,18.220487594604492
observed_bright,4622.5271479569028,18.159248352050781
observed_bright,4623.5905542525998,18.142498016357422
observed_bright,4624.6567440225608,17.982137680053711
observed_bright,4625.720640229034,18.687421798706055
observed_bright,4626.7847811834308,18.39903450012207
observed_bright,4627.8517075350674,17.441459655761719
observed_bright,4628.9163387386989,18.709135055541992
observed_bright,4629.9837566227998,18.080238342285156
observed_bright,4631.0488783015207,18.940328598022461
observed_bright,4632.1167879445347,18.861515045166016
observed_bright,4633.1824003243091,17.722221374511719
observed_bright,4634.2482578468098,17.223062515258789
observed_bright,4635.3169052596813,17.758888244628906
observed_bright,4636.3832538222377,17.127279281616211
observed_bright,4637.4523935604657,17.225446701049805
observed_bright,4638.5192333892992,17.205873489379883
observed_bright,4639.5888656796978,16.974529266357422
observed_bright,4640.6561970011353,16.409219741821289
observed_bright,4641.72377386074,15.459178924560547
observed_bright,4642.7941451110928,16.97227668762207
observed_bright,4643.8622138028513,17.447090148925781
observed_bright,4644.9330781727322,16.66131591796875
observed_bright,4646.0016389232305,15.685296058654785
observed_bright,4647.0729966398194,16.01042366027832
observed_bright,4648.1420496757473,17.740840911865234
observed_bright,4649.2113486459239,16.630882263183594
observed_bright,4650.2834465144851,16.846685409545898
observed_bright,4651.3532381101886,16.905681610107422
observed_bright,4652.4258298937302,16.731969833374023
observed_bright,4653.496114341915,17.315156936645508
observed_bright,4654.5692002679825,18.148378372192383
observed_bright,4655.6399777957049,17.122411727905273
observed_bright,4656.7110016543911,17.356573104858398
observed_bright,4657.784828926372,17.206655502319336
observed_bright,4658.8563462052416,16.863071441650391
observed_bright,4659.9306681889384,17.03492546081543
observed_bright,4661.0026791153105,17.174091339111328
observed_bright,4662.0774960386352,17.82282829284668
observed_bright,4663.1500008399335,18.213544845581055
observed_bright,4664.222752369551,17.809860229492188
observed_bright,4665.2983118346565,17.158775329589844
observed_bright,4666.3715575803953,17.139200210571289
observed_bright,4667.4476125552364,17.63800048828125
observed_bright,4668.5213527447822,16.746963500976562
observed_bright,4669.5979034576394,16.297151565551758
observed_bright,4670.6721383187805,17.13994026184082
observed_bright,4671.7466203062404,17.321617126464844
observed_bright,4672.8239147586746,16.161249160766602
observed_bright,4673.898891759477,16.111978530883789
observed_bright,4674.9766825209545,17.252817153930664
observed_bright,4676.0521547631515,16.434698104858398
observed_bright,4677.130442062321,16.407506942749023
observed_bright,4678.2064097740695,16.785282135009766
observed_bright,4679.2826250107773,16.468669891357422
observed_bright,4680.361657249251,16.587900161743164
observed_bright,4681.4383682978078,16.881332397460938
observed_bright,4682.5178976459229,17.641942977905273
observed_bright,4683.5951047347489,17.752405166625977
observed_bright,4684.6751314215226,17.453861236572266
observed_bright,4685.752834779144,17.258195877075195
observed_bright,4686.8307860610066,17.097499847412109
observed_bright,4687.911558888748,17.772377014160156
observed_bright,4688.9900067822546,16.693975448608398
observed_bright,4690.0712775215252,16.879232406616211
observed_bright,4691.1502222554655,16.917634963989258
observed_bright,4692.2319911356526,15.971115112304688
observed_bright,4693.31143293892,17.006221771240234
observed_bright,4694.3937001895183,17.273685455322266
observed_bright,4695.4736392911136,16.769269943237305
observed_bright,4696.5538268312794,16.154809951782227
observed_bright,4697.6368417707472,16.173738479614258
observed_bright,4698.7175269528007,16.637836456298828
observed_bright,4699.8010408367381,16.537481307983398
observed_bright,4700.882223889942,16.515501022338867
observed_bright,4701.9662369482121,16.284488677978516
observed_bright,4703.0479181019364,16.549375534057617
observed_bright,4704.129848094989,16.678424835205078
observed_bright,4705.2146100482278,16.387605667114258
observed_bright,4706.2970384859154,16.613317489624023
observed_bright,4707.3823001884712,16.319189071655273
observed_bright,4708.4652273004276,15.778763771057129
observed_bright,4709.5509889825362,16.063713073730469
observed_bright,4710.634414998498,16.150749206542969
observed_bright,4711.7180902551918,16.061412811279297
observed_bright,4712.8046020403135,17.332866668701172
observed_bright,4713.8887765456839,16.063936233520508
observed_bright,4714.9757888862696,16.360235214233398
observed_bright,4716.0604628703213,16.772083282470703
observed_bright,4717.147975996977,16.304533004760742
observed_bright,4718.2331496898187,15.701608657836914
observed_bright,4719.3185730254418,16.127079010009766
observed_bright,4720.4068374651033,17.343404769897461
observed_bright,4721.4927608547423,17.285989761352539
observed_bright,4722.5815266573154,16.099954605102539
observed_bright,4723.6679503313462,15.940762519836426
observed_bright,4724.7572177278089,17.175512313842773
observed_bright,4725.8441419167111,17.134243011474609
observed_bright,4726.9313161510936,16.186460494995117
observed_bright,4728.0213360725065,16.324558258056641
observed_bright,4729.1090111675439,15.513021469116211
observed_bright,4730.1995332606175,15.093015670776367
observed_bright,4731.2877094470559,16.149967193603516
observed_bright,4732.378733943141,16.158201217651367
observed_bright,4733.467411451832,15.346072196960449
observed_bright,4734.5563394093533,15.400522232055664
observed_bright,4735.6481176442885,16.420186996459961
observed_bright,4736.7375472704043,16.308183670043945
observed_bright,4737.8298284870543,15.432671546936035
observed_bright,4738.9197600128828,16.872896194458008
observed_bright,4740.0125444429714,15.941540718078613
observed_bright,4741.102978099736,16.680339813232422
observed_bright,4742.1936626093311,16.962867736816406
observed_bright,4743.2872019941278,16.14179801940918
observed_bright,4744.3783889815586,15.975232124328613
observed_bright,4745.4724321594313,17.268758773803711
observed_bright,4746.5641218561914,16.278070449829102
observed_bright,4747.6586690592376,16.018672943115234
observed_bright,4748.7508616969217,16.265666961669922
observed_bright,4749.8433055920887,16.036237716674805
observed_bright,4750.9386089676609,15.711567878723145
observed_bright,4752.0315561512125,16.486000061035156
observed_bright,4753.1273641325315,16.326030731201172
observed_bright,4754.2208148363306,14.956024169921875
observed_bright,4755.3171276558678,15.728353500366211
observed_bright,4756.4110821118875,16.88627815246582
observed_bright,4757.5052882306936,16.390434265136719
observed_bright,4758.6023584425411,16.393606185913086
observed_bright,4759.6970686615869,15.775494575500488
observed_bright,4760.7946442931607,15.965251922607422
observed_bright,4761.8898588446855,16.785707473754883
observed_bright,4762.9879401288326,16.057056427001953
observed_bright,4764.0836592451815,14.645833015441895
observed_bright,4765.1796304302743,16.395051956176758
observed_bright,4766.2784703284824,15.171962738037109
observed_bright,4767.3749464269804,15.54864501953125
observed_bright,4768.4742925602095,16.063997268676758
observed_bright,4769.5712738047259,15.664371490478516
observed_bright,4770.671126406196,15.462649345397949
observed_bright,4771.7686130294524,16.525419235229492
observed_bright,4772.8663521280632,16.307905197143555
observed_bright,4773.9669645673184,16.00218391418457
observed_bright,4775.0652093938115,15.461528778076172
observed_bright,4776.1663288846958,15.846532821655273
observed_bright,4777.26507967206,16.715751647949219
observed_bright,4778.3667064481706,15.607456207275391
observed_bright,4779.4659634295022,17.102016448974609
observed_bright,4780.5680977245465,16.742673873901367
observed_bright,4781.667861133049,16.88654899597168
observed_bright,4782.7678775406766,17.241321563720703
observed_bright,4783.8707732498224,16.771108627319336
observed_bright,4784.971296434489,16.990823745727539
observed_bright,4786.0747002471653,16.093435287475586
observed_bright,4787.1757304423409,16.823028564453125
observed_bright,4788.2796425926308,16.778261184692383
observed_bright,4789.3811800318945,16.954898834228516
observed_bright,4790.4829708783991,17.792488098144531
observed_bright,4791.5876456710284,16.21820068359375
observed_bright,4792.689944112054,16.951681137084961
observed_bright,4793.795127827837,17.51030158996582
observed_bright,4794.897934097231,17.003917694091797
observed_bright,4796.0036269706279,16.867597579956055
observed_bright,4797.1069413023488,17.668449401855469
