transition_id,reference_tier,q1_set,source_family,bright_science_record_id,faint_science_record_id,arm,snr_rung,bright_epoch_action,faint_epoch_action,object_specific_crn,mc_realizations,seed_namespace,grid_status,execution_authorized,spectra_generated
SDSSJ081319.34+460849.5,SILVER,SENSITIVITY_INCREMENT,Yang2018,sdss:439-51877-566,sdss:6392-56331-693,matched,5,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ081319.34+460849.5,SILVER,SENSITIVITY_INCREMENT,Yang2018,sdss:439-51877-566,sdss:6392-56331-693,matched,10,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ082942.66+415436.8,GOLD,PRIMARY_Q1,Potts2021,sdss:761-54524-71,sdss:761-52266-60,faint_only,5,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ082942.66+415436.8,GOLD,PRIMARY_Q1,Potts2021,sdss:761-54524-71,sdss:761-52266-60,faint_only,10,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ082942.66+415436.8,GOLD,PRIMARY_Q1,Potts2021,sdss:761-54524-71,sdss:761-52266-60,matched,5,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ082942.66+415436.8,GOLD,PRIMARY_Q1,Potts2021,sdss:761-54524-71,sdss:761-52266-60,matched,10,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ101152.98+544206.4,GOLD,PRIMARY_Q1,Runnoe2016,sdss:945-52652-22,sdss:8181-57073-827,faint_only,5,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ101152.98+544206.4,GOLD,PRIMARY_Q1,Runnoe2016,sdss:945-52652-22,sdss:8181-57073-827,faint_only,10,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ101152.98+544206.4,GOLD,PRIMARY_Q1,Runnoe2016,sdss:945-52652-22,sdss:8181-57073-827,matched,5,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ101152.98+544206.4,GOLD,PRIMARY_Q1,Runnoe2016,sdss:945-52652-22,sdss:8181-57073-827,matched,10,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ102152.34+464515.6,GOLD,PRIMARY_Q1,MacLeod2016,sdss:944-52614-603,sdss:7386-56769-410,faint_only,5,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ102152.34+464515.6,GOLD,PRIMARY_Q1,MacLeod2016,sdss:944-52614-603,sdss:7386-56769-410,faint_only,10,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ102152.34+464515.6,GOLD,PRIMARY_Q1,MacLeod2016,sdss:944-52614-603,sdss:7386-56769-410,matched,5,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ102152.34+464515.6,GOLD,PRIMARY_Q1,MacLeod2016,sdss:944-52614-603,sdss:7386-56769-410,matched,10,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ105058.42+241351.18,SILVER,SENSITIVITY_INCREMENT,Green2022,sdss:2481-54068-428,sdss:10467-58138-592,faint_only,5,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ105058.42+241351.18,SILVER,SENSITIVITY_INCREMENT,Green2022,sdss:2481-54068-428,sdss:10467-58138-592,faint_only,10,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ105058.42+241351.18,SILVER,SENSITIVITY_INCREMENT,Green2022,sdss:2481-54068-428,sdss:10467-58138-592,matched,5,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ105058.42+241351.18,SILVER,SENSITIVITY_INCREMENT,Green2022,sdss:2481-54068-428,sdss:10467-58138-592,matched,10,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ105325.40+302419.34,GOLD,PRIMARY_Q1,Green2022,sdss:1981-53463-599,sdss:10476-58141-851,faint_only,5,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ105325.40+302419.34,GOLD,PRIMARY_Q1,Green2022,sdss:1981-53463-599,sdss:10476-58141-851,faint_only,10,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ105325.40+302419.34,GOLD,PRIMARY_Q1,Green2022,sdss:1981-53463-599,sdss:10476-58141-851,matched,5,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ105325.40+302419.34,GOLD,PRIMARY_Q1,Green2022,sdss:1981-53463-599,sdss:10476-58141-851,matched,10,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ135855.83+493414.2,GOLD,PRIMARY_Q1,Potts2021,sdss:1670-54553-73,sdss:1670-53438-61,faint_only,5,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ135855.83+493414.2,GOLD,PRIMARY_Q1,Potts2021,sdss:1670-54553-73,sdss:1670-53438-61,matched,5,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ222132.41-010928.70,SILVER,SENSITIVITY_INCREMENT,MacLeod2016,sdss:9238-58013-261,sdss:375-52140-253,faint_only,5,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ222132.41-010928.70,SILVER,SENSITIVITY_INCREMENT,MacLeod2016,sdss:9238-58013-261,sdss:375-52140-253,faint_only,10,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ222132.41-010928.70,SILVER,SENSITIVITY_INCREMENT,MacLeod2016,sdss:9238-58013-261,sdss:375-52140-253,matched,5,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ222132.41-010928.70,SILVER,SENSITIVITY_INCREMENT,MacLeod2016,sdss:9238-58013-261,sdss:375-52140-253,matched,10,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ233602.98+001728.7,GOLD,PRIMARY_Q1,Ruan2016,sdss:385-51783-360,sdss:4213-55449-530,faint_only,5,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ233602.98+001728.7,GOLD,PRIMARY_Q1,Ruan2016,sdss:385-51783-360,sdss:4213-55449-530,matched,5,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
